Measurement	Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
FZ_005-1_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-49-22	1.04004532	0.00136467	17.05842324	0.00091121	0.66544045	0.60635338	42.7213	7.5794	264.914205	2923.778	0.00099520	NaN	NaN	NaN	8.500	10:49:22	06/19/2024
FZ_005-1_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-49-51	1.04068874	0.00136454	17.05676085	0.00091121	0.66469308	0.60567584	42.6514	7.5709	265.411345	2893.389	0.00099480	NaN	NaN	NaN	8.500	10:49:51	06/19/2024
FZ_005-2_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-51-50	1.04207169	0.00138157	17.26962057	0.00093615	0.67209406	0.62918070	43.7024	7.8648	232.619964	3185.027	0.00102532	NaN	NaN	NaN	8.500	10:51:50	06/19/2024
FZ_005-3_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-54-00	1.05152669	0.00138310	17.28868783	0.00092074	0.66917004	0.61613367	42.3646	7.7017	240.994106	3013.399	0.00101949	NaN	NaN	NaN	8.297	10:54:00	06/19/2024
FZ_005-4_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-56-19	1.04124114	0.00148330	18.54128006	0.00102176	0.75200151	0.76836712	49.7494	9.6046	167.074377	4792.342	0.00118678	NaN	NaN	NaN	8.547	10:56:19	06/19/2024
FZ_005-4_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-56-30	1.04141627	0.00148021	18.50256570	0.00101908	0.75431042	0.76869990	49.8667	9.6087	165.600285	4693.037	0.00118549	NaN	NaN	NaN	8.562	10:56:30	06/19/2024
FZ_005-5_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-57-56	1.05503485	0.00148713	18.58911906	0.00099113	0.75379688	0.74710816	47.6176	9.3389	173.932920	3936.169	0.00117630	NaN	NaN	NaN	8.500	10:57:56	06/19/2024
FZ_005-6_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 11-00-06	1.04730936	0.00153276	19.15950186	0.00101609	0.76969007	0.78207772	48.7193	9.7760	162.062590	3889.905	0.00122021	NaN	NaN	NaN	8.359	11:00:06	06/19/2024
