FZS09 Emission Map

Labels,Ex=300.00nm,Ex=400.00nm,Ex=500.00nm,Ex=600.00nm,Ex=700.00nm,Ex=800.00nm,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,700.00,700.00,700.00,700.00,702.00,802.00,
Stop,950.00,950.00,950.00,950.00,950.00,950.00,
Step,0.500,0.500,0.500,0.500,0.500,0.500,
Fixed/Offset,300.00,400.00,500.00,600.00,700.00,800.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,False,False,
Repeats,1,1,1,1,1,1,
Dwell Time,0.10,0.10,0.10,0.10,0.10,0.10,
Lamp,Xenon,Xenon,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,
Fixed/Offset Polariser,None,None,None,None,None,None,
Fixed/Offset Slit,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,2.0004635,
Detector,Detector 1,Detector 1,Detector 1,Detector 1,Detector 1,Detector 1,

724.00,1.32713506E+4,2.33601270E+4,2.55115195E+4,2.41764863E+4,3.05406836E+4, ,
724.500,1.42166719E+4,2.40974219E+4,2.53561191E+4,2.54552285E+4,3.09867734E+4, ,
725.00,1.41619814E+4,2.52353320E+4,2.68870781E+4,2.63971523E+4,3.23861680E+4, ,
725.500,1.36538633E+4,2.61481387E+4,2.89232051E+4,2.66725176E+4,3.25618789E+4, ,
726.00,1.51694092E+4,2.71239238E+4,3.04042383E+4,2.91851445E+4,3.24690488E+4, ,
726.500,1.60077207E+4,2.79844629E+4,3.01726992E+4,3.08894863E+4,3.32449102E+4, ,
727.00,1.57833779E+4,2.92099941E+4,3.17084180E+4,3.19259316E+4,3.42071328E+4, ,
727.500,1.62554941E+4,2.99713320E+4,3.23040801E+4,3.27567227E+4,3.36827813E+4, ,
728.00,1.67423887E+4,3.22069531E+4,3.53897617E+4,3.36879258E+4,3.46685391E+4, ,
728.500,1.70819668E+4,3.21648438E+4,3.57913789E+4,3.55044102E+4,3.52483359E+4, ,
729.00,1.92503340E+4,3.40255000E+4,3.79351523E+4,3.71184727E+4,3.45674766E+4, ,
729.500,1.84298945E+4,3.52251914E+4,3.92546602E+4,3.87532617E+4,3.76251055E+4, ,
730.00,2.01308086E+4,3.65851641E+4,4.14645898E+4,4.02419531E+4,3.68454688E+4, ,
730.500,2.12584766E+4,3.79375391E+4,4.26503555E+4,4.17260703E+4,3.55083398E+4, ,
731.00,2.19775078E+4,3.97724258E+4,4.40269688E+4,4.26136797E+4,3.92160547E+4, ,
731.500,2.18052344E+4,4.07757930E+4,4.69133984E+4,4.36269453E+4,4.16280117E+4, ,
732.00,2.39745996E+4,4.27544570E+4,4.67557344E+4,4.54929531E+4,4.32930859E+4, ,
732.500,2.40943223E+4,4.48354531E+4,5.01253008E+4,4.99725508E+4,4.27707734E+4, ,
733.00,2.51746875E+4,4.63173281E+4,5.18465117E+4,4.93505820E+4,4.41724063E+4, ,
733.500,2.56391074E+4,4.71605039E+4,5.39807383E+4,5.20974375E+4,4.79619609E+4, ,
734.00,2.59050527E+4,5.00558867E+4,5.51227578E+4,5.38146523E+4,4.86625859E+4, ,
734.500,2.71956484E+4,5.02880195E+4,5.81030781E+4,5.88764180E+4,5.00555547E+4, ,
735.00,2.88014863E+4,5.30311367E+4,5.88307031E+4,5.87840430E+4,5.11492539E+4, ,
735.500,3.14710273E+4,5.65021055E+4,6.18926133E+4,6.08683945E+4,5.21027227E+4, ,
736.00,3.21302598E+4,5.72961758E+4,6.46083789E+4,6.29084844E+4,5.58610234E+4, ,
736.500,3.16116094E+4,5.90005703E+4,6.68465000E+4,6.74551016E+4,5.62404453E+4, ,
737.00,3.40246211E+4,6.28660469E+4,6.83671250E+4,6.93841953E+4,6.05480859E+4, ,
737.500,3.45635430E+4,6.46294180E+4,7.34534688E+4,7.14858828E+4,6.12552734E+4, ,
738.00,3.76322266E+4,6.72641875E+4,7.47456953E+4,7.37140547E+4,6.31952969E+4, ,
738.500,3.84206094E+4,6.98763359E+4,7.94652188E+4,7.82432813E+4,6.67519453E+4, ,
739.00,3.77675859E+4,7.22386328E+4,8.35528438E+4,7.80369766E+4,6.67218984E+4, ,
739.500,4.15071094E+4,7.69930859E+4,8.58684141E+4,8.40166797E+4,7.11782578E+4, ,
740.00,4.01623945E+4,7.85272969E+4,9.04941875E+4,8.74431016E+4,7.36183594E+4, ,
740.500,4.37284570E+4,8.18551328E+4,9.35048750E+4,8.96059453E+4,7.71013984E+4, ,
741.00,4.39065469E+4,8.42976563E+4,9.48567500E+4,9.25375469E+4,7.89803516E+4, ,
741.500,4.73795859E+4,8.72310547E+4,9.96311016E+4,1.00197867E+5,8.25144844E+4, ,
742.00,4.96702734E+4,9.07901484E+4,1.04915992E+5,1.00453992E+5,8.51211719E+4, ,
742.500,4.86498047E+4,9.65269531E+4,1.08474766E+5,1.08057492E+5,8.85421719E+4, ,
743.00,5.08057227E+4,9.84351094E+4,1.12802508E+5,1.09335305E+5,9.13697422E+4, ,
743.500,5.22243867E+4,1.02532750E+5,1.18215992E+5,1.13729758E+5,9.51513828E+4, ,
744.00,5.28363242E+4,1.05871984E+5,1.25155156E+5,1.21900047E+5,9.96873359E+4, ,
744.500,5.77138750E+4,1.10154383E+5,1.29592570E+5,1.24213836E+5,1.04578516E+5, ,
745.00,5.94408320E+4,1.14559320E+5,1.33500828E+5,1.27149523E+5,1.10167414E+5, ,
745.500,6.12269727E+4,1.18484492E+5,1.37188672E+5,1.32434938E+5,1.09455313E+5, ,
746.00,6.41475195E+4,1.22442039E+5,1.42509500E+5,1.40870266E+5,1.14552711E+5, ,
746.500,6.60288672E+4,1.27746461E+5,1.50470063E+5,1.45445438E+5,1.19791242E+5, ,
747.00,6.89269922E+4,1.34004906E+5,1.56976516E+5,1.52023844E+5,1.20821109E+5, ,
747.500,7.10737422E+4,1.39793172E+5,1.60386203E+5,1.58260859E+5,1.28619734E+5, ,
748.00,7.30101172E+4,1.43065813E+5,1.68233906E+5,1.61996156E+5,1.31050641E+5, ,
748.500,7.57751172E+4,1.49835609E+5,1.73638125E+5,1.70892109E+5,1.38488063E+5, ,
749.00,7.93115859E+4,1.56161953E+5,1.83248016E+5,1.82310297E+5,1.40920484E+5, ,
749.500,8.38534453E+4,1.60321406E+5,1.89271969E+5,1.84527625E+5,1.49025203E+5, ,
