Voc V,Isc A,Jsc mA/cm2,Imax A,Vmax V,Pmax mW,Fill Factor,Efficiency,R at Voc,R at Isc,Power W,RShunt ohms,Cell Temp start,Cell Temp end,Exposure,Time,Date,name,substrate,position
0.98090611,0.00153971,19.9522238,0.00124262,0.72797083,0.90459082,59.8942,11.7221,115.958771,6822.946,0.00125544,,,,5.734,20:16:15,04/18/2024,AD001-1,1,1
0.99265848,0.00151315,19.60807265,0.00131367,0.77081736,1.01260044,67.4147,13.1217,95.077514,14706.774,0.00131337,,,,5.75,20:20:23,04/18/2024,AD001-2,1,2
0.97948564,0.00156355,20.26113518,0.00117154,0.72952709,0.85467109,55.807,11.0752,118.194143,3797.199,0.00122817,,,,5.75,20:23:05,04/18/2024,AD001-3,1,3
0.98385864,0.00166879,21.62489436,0.00127077,0.54976394,0.69862309,42.5508,9.053,340.772742,3472.171,0.00113112,,,,5.672,20:27:18,04/18/2024,AD002-1,2,1
0.95674241,0.00126618,16.4077001,0.00109326,0.55490473,0.60665482,50.0784,7.8613,373.183229,1550.31,0.00087887,,,,5.891,20:28:38,04/18/2024,AD002-2,2,2
0.98961701,0.0017653,22.87551113,0.00156285,0.78045184,1.21972919,69.8195,15.8057,80.171734,16030.189,0.00154567,,,,5.75,20:31:00,04/18/2024,AD002-3,2,3
1.01902277,0.00144361,18.7068928,0.00131769,0.81053371,1.06803324,72.6024,13.84,92.385457,35563.096,0.00132529,,,,5.75,20:34:08,04/18/2024,AD003-1,3,1
0.95584016,0.00141853,18.38193389,0.00108391,0.70508559,0.76424855,56.365,9.9034,144.664175,1102.829,0.00102206,,,,6.219,20:35:07,04/18/2024,AD003-2,3,2
0.99333313,0.00143345,18.57517407,0.00120527,0.76536438,0.92247335,64.7855,11.9538,104.644802,12844.808,0.00122794,,,,5.734,20:37:58,04/18/2024,AD003-3,3,3
1.05319358,0.00145262,18.82368569,0.00129359,0.8227256,1.0642736,69.5652,13.7913,98.800681,33399.742,0.00136083,,,,5.734,20:41:02,04/18/2024,AD004-1,4,1
1.041416,0.00144967,18.78546918,0.00126315,0.82025856,1.03610632,68.6293,13.4263,93.243928,20614.256,0.0013365,,,,5.75,20:42:52,04/18/2024,AD004-2,4,2
1.05824034,0.00146291,18.95696474,0.00131612,0.84779581,1.11579974,72.075,14.459,88.216948,30492.204,0.00139411,,,,5.75,20:44:41,04/18/2024,AD004-3,4,3
1.03876875,0.00166138,21.52881594,0.00146351,0.80298026,1.17517308,68.0949,15.2284,93.942446,23111.872,0.00151936,,,,5.75,20:48:16,04/18/2024,AD005-1,5,1
1.01629521,0.00173392,22.4688895,0.00144515,0.7812188,1.12898074,64.0673,14.6298,97.509991,7878.735,0.0015027,,,,5.75,20:49:39,04/18/2024,AD005-2,5,2
1.04114853,0.00173919,22.53718045,0.00149133,0.79967299,1.19257719,65.8606,15.4539,95.27758,14155.736,0.00157043,,,,5.75,20:51:22,04/18/2024,AD005-3,5,3
1.00592106,0.00156931,20.33572664,0.00141611,0.79727884,1.12903398,71.5212,14.6305,86.16005,33936.513,0.00141442,,,,5.531,20:54:33,04/18/2024,AD006-1,6,1
0.9353479,0.00168599,21.84772764,0.00115938,0.64778762,0.75103237,47.6245,9.7322,157.944523,2044.818,0.0011652,,,,5.812,20:55:54,04/18/2024,AD006-2,6,2
1.03083241,0.00160032,20.73763626,0.0013891,0.79901472,1.1099118,67.281,14.3827,93.400461,20449.314,0.00144677,,,,5.75,20:57:35,04/18/2024,AD006-3,6,3
