Vmeas,Imeas,Jmeas (mA/cm2),name,substrate,position,batch
-0.1,0.0016615,21.57792207792208,A1-3-B,3,B,1
-0.087,0.00166048,21.564675324675324,A1-3-B,3,B,1
-0.074,0.00165979,21.555714285714284,A1-3-B,3,B,1
-0.061,0.00165932,21.54961038961039,A1-3-B,3,B,1
-0.048,0.00165854,21.53948051948052,A1-3-B,3,B,1
-0.035,0.00165789,21.531038961038963,A1-3-B,3,B,1
-0.022,0.0016576,21.527272727272727,A1-3-B,3,B,1
-0.009,0.00165642,21.511948051948053,A1-3-B,3,B,1
0.004,0.00165639,21.511558441558442,A1-3-B,3,B,1
0.017,0.00165543,21.49909090909091,A1-3-B,3,B,1
0.03,0.00165408,21.481558441558445,A1-3-B,3,B,1
0.043,0.00165339,21.4725974025974,A1-3-B,3,B,1
0.056,0.00165213,21.456233766233765,A1-3-B,3,B,1
0.069,0.00165116,21.443636363636365,A1-3-B,3,B,1
0.082,0.00165055,21.435714285714287,A1-3-B,3,B,1
0.095,0.00164899,21.415454545454544,A1-3-B,3,B,1
0.108,0.00164838,21.407532467532466,A1-3-B,3,B,1
0.121,0.0016476,21.397402597402596,A1-3-B,3,B,1
0.134,0.00164588,21.375064935064934,A1-3-B,3,B,1
0.147,0.00164443,21.356233766233768,A1-3-B,3,B,1
0.16,0.00164332,21.34181818181818,A1-3-B,3,B,1
0.173,0.00164185,21.322727272727274,A1-3-B,3,B,1
0.186,0.00164004,21.29922077922078,A1-3-B,3,B,1
0.199,0.00163932,21.28987012987013,A1-3-B,3,B,1
0.212,0.0016375,21.266233766233768,A1-3-B,3,B,1
0.225,0.00163587,21.245064935064935,A1-3-B,3,B,1
0.238,0.0016334,21.212987012987014,A1-3-B,3,B,1
0.251,0.00163182,21.192467532467532,A1-3-B,3,B,1
0.264,0.0016301,21.17012987012987,A1-3-B,3,B,1
0.277,0.00162787,21.14116883116883,A1-3-B,3,B,1
0.29,0.00162586,21.115064935064936,A1-3-B,3,B,1
0.303,0.00162328,21.081558441558442,A1-3-B,3,B,1
0.316,0.0016206,21.046753246753248,A1-3-B,3,B,1
0.329,0.00161791,21.01181818181818,A1-3-B,3,B,1
0.342,0.00161563,20.98220779220779,A1-3-B,3,B,1
0.355,0.00161263,20.943246753246754,A1-3-B,3,B,1
0.368,0.00160902,20.89636363636364,A1-3-B,3,B,1
0.381,0.0016058,20.854545454545452,A1-3-B,3,B,1
0.394,0.00160205,20.805844155844156,A1-3-B,3,B,1
