Vmeas,Imeas,name,substrate,position
0.368,0.00139745,A1-2,1,2
0.355,0.00140882,A1-2,1,2
0.342,0.00141981,A1-2,1,2
0.329,0.00143032,A1-2,1,2
0.316,0.00144084,A1-2,1,2
0.303,0.00145033,A1-2,1,2
0.29,0.00145985,A1-2,1,2
0.277,0.00146889,A1-2,1,2
0.264,0.00147663,A1-2,1,2
0.251,0.00148536,A1-2,1,2
0.238,0.00149239,A1-2,1,2
0.225,0.00149995,A1-2,1,2
0.212,0.00150639,A1-2,1,2
0.199,0.00151338,A1-2,1,2
0.186,0.00151935,A1-2,1,2
0.173,0.001525,A1-2,1,2
0.16,0.00153025,A1-2,1,2
0.147,0.00153522,A1-2,1,2
0.134,0.00154026,A1-2,1,2
0.121,0.00154449,A1-2,1,2
0.108,0.00154876,A1-2,1,2
0.095,0.00155294,A1-2,1,2
0.082,0.00155633,A1-2,1,2
0.069,0.00156042,A1-2,1,2
0.056,0.00156376,A1-2,1,2
0.043,0.0015668,A1-2,1,2
0.03,0.00156935,A1-2,1,2
0.017,0.00157251,A1-2,1,2
0.004,0.00157495,A1-2,1,2
-0.009,0.00158026,A1-2,1,2
-0.022,0.00158071,A1-2,1,2
-0.035,0.00158233,A1-2,1,2
-0.048,0.00158512,A1-2,1,2
-0.061,0.00158674,A1-2,1,2
-0.074,0.0015891,A1-2,1,2
-0.087,0.00159147,A1-2,1,2
-0.1,0.00159311,A1-2,1,2
1.2,-0.0006688,A1-3,1,3
1.187,-0.00059936,A1-3,1,3
1.174,-0.00052724,A1-3,1,3
1.161,-0.00045497,A1-3,1,3
1.148,-0.00038407,A1-3,1,3
1.135,-0.00031547,A1-3,1,3
1.122,-0.00024953,A1-3,1,3
1.109,-0.00018704,A1-3,1,3
1.096,-0.00012797,A1-3,1,3
1.083,-7.13e-05,A1-3,1,3
1.07,-1.851e-05,A1-3,1,3
1.057,3.179e-05,A1-3,1,3
1.044,7.955e-05,A1-3,1,3
1.031,0.00012216,A1-3,1,3
1.018,0.00016872,A1-3,1,3
1.005,0.00021255,A1-3,1,3
0.992,0.00025444,A1-3,1,3
0.979,0.00029506,A1-3,1,3
0.966,0.00033453,A1-3,1,3
0.953,0.00037266,A1-3,1,3
0.94,0.00040994,A1-3,1,3
0.927,0.00044636,A1-3,1,3
0.914,0.00048171,A1-3,1,3
0.901,0.00051658,A1-3,1,3
0.888,0.00055033,A1-3,1,3
0.875,0.00058352,A1-3,1,3
0.862,0.00061582,A1-3,1,3
0.849,0.00064719,A1-3,1,3
0.836,0.00067799,A1-3,1,3
0.823,0.00070826,A1-3,1,3
0.81,0.00073763,A1-3,1,3
0.797,0.00076581,A1-3,1,3
0.784,0.00079363,A1-3,1,3
0.771,0.00082059,A1-3,1,3
0.758,0.00084676,A1-3,1,3
0.745,0.00087261,A1-3,1,3
0.732,0.00089721,A1-3,1,3
0.719,0.0009212,A1-3,1,3
0.706,0.00094481,A1-3,1,3
0.693,0.00096724,A1-3,1,3
0.68,0.00098917,A1-3,1,3
0.667,0.00101106,A1-3,1,3
0.654,0.00103154,A1-3,1,3
0.641,0.00105006,A1-3,1,3
0.628,0.00105712,A1-3,1,3
0.615,0.00107658,A1-3,1,3
0.602,0.00109717,A1-3,1,3
0.589,0.00111671,A1-3,1,3
0.576,0.00113518,A1-3,1,3
0.563,0.00115302,A1-3,1,3
0.55,0.00117048,A1-3,1,3
0.537,0.00118755,A1-3,1,3
0.524,0.00120307,A1-3,1,3
0.511,0.00121923,A1-3,1,3
0.498,0.00123399,A1-3,1,3
0.485,0.00124933,A1-3,1,3
0.472,0.00126381,A1-3,1,3
0.459,0.00127808,A1-3,1,3
0.446,0.00129194,A1-3,1,3
0.433,0.0013048,A1-3,1,3
0.42,0.00131729,A1-3,1,3
0.407,0.00132989,A1-3,1,3
0.394,0.00134149,A1-3,1,3
0.381,0.00135327,A1-3,1,3
0.368,0.00136454,A1-3,1,3
0.355,0.00137502,A1-3,1,3
0.342,0.00138578,A1-3,1,3
0.329,0.00139417,A1-3,1,3
0.316,0.00140406,A1-3,1,3
0.303,0.00141311,A1-3,1,3
0.29,0.00142149,A1-3,1,3
0.277,0.00142963,A1-3,1,3
0.264,0.00143756,A1-3,1,3
0.251,0.00144423,A1-3,1,3
0.238,0.00145073,A1-3,1,3
0.225,0.00145731,A1-3,1,3
0.212,0.0014632,A1-3,1,3
0.199,0.00146866,A1-3,1,3
0.186,0.00147306,A1-3,1,3
0.173,0.00147821,A1-3,1,3
0.16,0.00148271,A1-3,1,3
0.147,0.00148713,A1-3,1,3
0.134,0.0014909,A1-3,1,3
0.121,0.00149407,A1-3,1,3
0.108,0.00149722,A1-3,1,3
0.095,0.00150087,A1-3,1,3
0.082,0.00150464,A1-3,1,3
0.069,0.0015074,A1-3,1,3
0.056,0.00150984,A1-3,1,3
0.043,0.00151196,A1-3,1,3
0.03,0.00151394,A1-3,1,3
0.017,0.00151569,A1-3,1,3
0.004,0.00151835,A1-3,1,3
-0.009,0.00152079,A1-3,1,3
-0.022,0.00152208,A1-3,1,3
