Measurement	Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
FZ_004-1_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-31-15	1.03751309	0.00140130	17.51625267	0.00099568	0.74450962	0.74128978	50.9874	9.2661	160.330049	4175.710	0.00112386	NaN	NaN	NaN	8.437	10:31:15	06/19/2024
FZ_004-2_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-33-45	1.03426643	0.00127501	15.93764993	0.00084790	0.68745302	0.58289084	44.2019	7.2861	225.942037	2988.590	0.00094369	NaN	NaN	NaN	8.297	10:33:45	06/19/2024
FZ_004-3_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-36-45	1.03097586	0.00141102	17.63776417	0.00101982	0.74001326	0.75468011	51.8777	9.4335	163.577916	5642.334	0.00113816	NaN	NaN	NaN	8.375	10:36:45	06/19/2024
FZ_004-4_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-38-28	1.03944421	0.00149852	18.73155512	0.00120285	0.73966093	0.88969920	57.1187	11.1212	122.821876	9391.406	0.00128569	NaN	NaN	NaN	8.375	10:38:28	06/19/2024
FZ_004-5_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-39-56	1.05459293	0.00158129	19.76616257	0.00122345	0.69145948	0.84596849	50.7291	10.5746	157.212100	7120.236	0.00130517	NaN	NaN	NaN	8.562	10:39:56	06/19/2024
FZ_004-5_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-40-07	1.05404243	0.00157687	19.71084935	0.00121569	0.69394403	0.84361752	50.7566	10.5452	151.274449	6680.396	0.00130237	NaN	NaN	NaN	8.562	10:40:07	06/19/2024
FZ_004-6_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-42-23	1.04497458	0.00149667	18.70838878	0.00119766	0.74615956	0.89364816	57.1392	11.1706	122.080771	8632.368	0.00128955	NaN	NaN	NaN	8.359	10:42:23	06/19/2024
FZ_004-6_ITO+SnO2+PVSK+PEAI+Spiro+Carbon (Dry Ice)  2024-06-19 10-42-33	1.04487456	0.00149242	18.65530942	0.00118174	0.74327640	0.87835773	56.3268	10.9795	126.403141	8007.927	0.00127733	NaN	NaN	NaN	8.359	10:42:33	06/19/2024
