Labels,FZS11,
Type,Emission Scan,
Comment,,
Start,700.00,
Stop,900.00,
Step,0.500,
Fixed/Offset,500.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.40,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

700.00,7.86477661E+2,
700.500,6.36251221E+2,
701.00,8.00509094E+2,
701.500,8.69058716E+2,
702.00,9.22682495E+2,
702.500,7.39498718E+2,
703.00,7.40605347E+2,
703.500,9.01339600E+2,
704.00,6.62908569E+2,
704.500,7.69120789E+2,
705.00,7.72701233E+2,
705.500,7.75107239E+2,
706.00,9.81915527E+2,
706.500,8.03730164E+2,
707.00,9.67566772E+2,
707.500,7.76928223E+2,
708.00,8.34001709E+2,
708.500,7.91709045E+2,
709.00,7.61800842E+2,
709.500,8.41242493E+2,
710.00,6.60183655E+2,
710.500,7.17302490E+2,
711.00,1.05214148E+3,
711.500,1.03249548E+3,
712.00,9.46337830E+2,
712.500,8.05915283E+2,
713.00,8.67431885E+2,
713.500,9.72104248E+2,
714.00,8.84698486E+2,
714.500,1.31950488E+3,
715.00,9.49167542E+2,
715.500,1.52334302E+3,
716.00,1.17066101E+3,
716.500,1.04899097E+3,
717.00,1.18211890E+3,
717.500,7.68157715E+2,
718.00,1.38694006E+3,
718.500,1.07550891E+3,
719.00,1.15011182E+3,
719.500,1.45022363E+3,
720.00,1.43145203E+3,
720.500,1.33014893E+3,
721.00,1.52669116E+3,
721.500,1.14960278E+3,
722.00,1.40651697E+3,
722.500,1.55748169E+3,
723.00,1.44077930E+3,
723.500,1.48427026E+3,
724.00,1.53869458E+3,
724.500,1.59170300E+3,
725.00,1.94039404E+3,
725.500,2.08271265E+3,
726.00,2.23761890E+3,
726.500,2.02423376E+3,
727.00,1.65766235E+3,
727.500,1.87641736E+3,
728.00,2.06274487E+3,
728.500,1.95222473E+3,
729.00,1.90553064E+3,
729.500,2.35602954E+3,
730.00,2.62220850E+3,
730.500,2.47971265E+3,
731.00,2.86617188E+3,
731.500,2.66189526E+3,
732.00,2.88190771E+3,
732.500,2.88146387E+3,
733.00,2.84315405E+3,
733.500,3.34232593E+3,
734.00,2.80926831E+3,
734.500,2.76495850E+3,
735.00,3.18347266E+3,
735.500,4.04445850E+3,
736.00,3.36893164E+3,
736.500,3.31038843E+3,
737.00,3.14074829E+3,
737.500,3.84958569E+3,
738.00,3.35434668E+3,
738.500,3.72319165E+3,
739.00,3.89370386E+3,
739.500,4.10057471E+3,
740.00,4.96307129E+3,
740.500,4.18253857E+3,
741.00,4.30070898E+3,
741.500,4.90412549E+3,
742.00,5.05997314E+3,
742.500,5.16402393E+3,
743.00,5.13490625E+3,
743.500,5.18524365E+3,
744.00,5.17710547E+3,
744.500,5.95545361E+3,
745.00,6.04851904E+3,
745.500,6.04779053E+3,
746.00,6.35162891E+3,
746.500,6.16363525E+3,
747.00,6.36119385E+3,
747.500,6.60272852E+3,
748.00,6.62414893E+3,
748.500,7.62094385E+3,
749.00,8.28970703E+3,
749.500,8.83290820E+3,
750.00,8.69984668E+3,
750.500,8.28200195E+3,
751.00,8.71813965E+3,
751.500,8.77477148E+3,
752.00,9.57749512E+3,
752.500,9.97296191E+3,
753.00,1.02744180E+4,
753.500,1.01157783E+4,
754.00,1.10529326E+4,
754.500,1.07838652E+4,
755.00,1.15069482E+4,
755.500,1.19105947E+4,
756.00,1.19402891E+4,
756.500,1.33863945E+4,
757.00,1.33573320E+4,
757.500,1.34555654E+4,
758.00,1.44595703E+4,
758.500,1.42273887E+4,
759.00,1.55844824E+4,
759.500,1.61653887E+4,
760.00,1.61535088E+4,
760.500,1.56851299E+4,
761.00,1.78181211E+4,
761.500,1.77113105E+4,
762.00,1.88818359E+4,
762.500,1.97272734E+4,
763.00,1.94886250E+4,
763.500,1.98046406E+4,
764.00,2.10935488E+4,
764.500,2.08060547E+4,
765.00,2.25021816E+4,
765.500,2.50683633E+4,
766.00,2.43138477E+4,
766.500,2.46256660E+4,
767.00,2.56879844E+4,
767.500,2.60133613E+4,
768.00,2.66325840E+4,
768.500,2.71224453E+4,
769.00,2.94085391E+4,
769.500,3.06904805E+4,
770.00,3.14827617E+4,
770.500,3.26405137E+4,
771.00,3.35369023E+4,
771.500,3.43958047E+4,
772.00,3.61898164E+4,
772.500,3.75533203E+4,
773.00,3.72574570E+4,
773.500,4.02500234E+4,
774.00,3.92790195E+4,
774.500,4.11073672E+4,
775.00,4.03480391E+4,
775.500,4.36879609E+4,
776.00,4.49953945E+4,
776.500,4.73537734E+4,
777.00,4.87981445E+4,
777.500,4.98126797E+4,
778.00,5.23497227E+4,
778.500,5.40884922E+4,
779.00,5.66188242E+4,
779.500,5.68941289E+4,
780.00,5.85861406E+4,
780.500,6.05025781E+4,
781.00,6.35153984E+4,
781.500,6.33990938E+4,
782.00,6.57638516E+4,
782.500,6.65548359E+4,
783.00,6.94425938E+4,
783.500,6.97738203E+4,
784.00,7.47213438E+4,
784.500,7.39697500E+4,
785.00,7.85895391E+4,
785.500,7.82856484E+4,
786.00,7.96413828E+4,
786.500,8.22624922E+4,
787.00,8.27863906E+4,
787.500,8.86249063E+4,
788.00,8.67200391E+4,
788.500,9.04083828E+4,
789.00,9.25449531E+4,
789.500,9.34178438E+4,
790.00,9.72652344E+4,
790.500,9.97725000E+4,
791.00,1.00880820E+5,
791.500,9.95951641E+4,
792.00,1.03948820E+5,
792.500,1.05535320E+5,
793.00,1.08507500E+5,
793.500,1.08708961E+5,
794.00,1.10381758E+5,
794.500,1.10885500E+5,
795.00,1.13902398E+5,
795.500,1.16980797E+5,
796.00,1.18521922E+5,
796.500,1.18569180E+5,
797.00,1.19808859E+5,
797.500,1.19000609E+5,
798.00,1.20012273E+5,
798.500,1.21680000E+5,
799.00,1.19059469E+5,
799.500,1.21614172E+5,
800.00,1.24733031E+5,
800.500,1.25612102E+5,
801.00,1.22298125E+5,
801.500,1.23025898E+5,
802.00,1.21243789E+5,
802.500,1.24590656E+5,
803.00,1.22943492E+5,
803.500,1.21522531E+5,
804.00,1.22597516E+5,
804.500,1.22614680E+5,
805.00,1.23690547E+5,
805.500,1.20151742E+5,
806.00,1.20196039E+5,
806.500,1.19061281E+5,
807.00,1.18195969E+5,
807.500,1.18581453E+5,
808.00,1.17483148E+5,
808.500,1.15635188E+5,
809.00,1.16752102E+5,
809.500,1.17985844E+5,
810.00,1.12267703E+5,
810.500,1.15575305E+5,
811.00,1.11132195E+5,
811.500,1.13894984E+5,
812.00,1.09885773E+5,
812.500,1.10056102E+5,
813.00,1.10432461E+5,
813.500,1.07734945E+5,
814.00,1.07800508E+5,
814.500,1.04532281E+5,
815.00,1.01634242E+5,
815.500,1.03747906E+5,
816.00,1.02447727E+5,
816.500,9.89782344E+4,
817.00,9.71885547E+4,
817.500,9.79358516E+4,
818.00,9.54921016E+4,
818.500,9.46532578E+4,
819.00,9.64315859E+4,
819.500,8.89990313E+4,
820.00,9.02232266E+4,
820.500,9.26361953E+4,
821.00,9.14006875E+4,
821.500,8.91303828E+4,
822.00,9.13786328E+4,
822.500,9.06584609E+4,
823.00,8.69447422E+4,
823.500,8.80244531E+4,
824.00,8.46940469E+4,
824.500,8.44894375E+4,
825.00,8.12003125E+4,
825.500,7.82643359E+4,
826.00,7.79381875E+4,
826.500,7.81394063E+4,
827.00,7.76993281E+4,
827.500,7.58504609E+4,
828.00,7.10622578E+4,
828.500,7.22946641E+4,
829.00,6.90753750E+4,
829.500,6.74137656E+4,
830.00,6.65198438E+4,
830.500,6.56359297E+4,
831.00,6.47454219E+4,
831.500,6.07021680E+4,
832.00,6.29059023E+4,
832.500,6.08354688E+4,
833.00,5.81498594E+4,
833.500,5.53782930E+4,
834.00,5.60051641E+4,
834.500,5.71802930E+4,
835.00,5.40110547E+4,
835.500,5.07576680E+4,
836.00,5.13714219E+4,
836.500,4.80276602E+4,
837.00,4.61602344E+4,
837.500,4.29445078E+4,
838.00,4.27829883E+4,
838.500,4.11683359E+4,
839.00,4.33892461E+4,
839.500,4.20963594E+4,
840.00,3.85594609E+4,
840.500,3.79438516E+4,
841.00,3.64805313E+4,
841.500,3.62337852E+4,
842.00,3.40032695E+4,
842.500,3.32385742E+4,
843.00,3.26745527E+4,
843.500,3.24020684E+4,
844.00,3.06624609E+4,
844.500,3.13200430E+4,
845.00,3.01553203E+4,
845.500,2.76094160E+4,
846.00,2.68676953E+4,
846.500,2.48282969E+4,
847.00,2.51057793E+4,
847.500,2.53383027E+4,
848.00,2.30371973E+4,
848.500,2.27120332E+4,
849.00,2.26573047E+4,
849.500,2.14048262E+4,
850.00,2.08708926E+4,
850.500,1.85014258E+4,
851.00,1.90709570E+4,
851.500,2.00510391E+4,
852.00,1.63478389E+4,
852.500,1.63333330E+4,
853.00,1.52655186E+4,
853.500,1.65492012E+4,
854.00,1.51057939E+4,
854.500,1.52842617E+4,
855.00,1.44372627E+4,
855.500,1.41537490E+4,
856.00,1.41483047E+4,
856.500,1.35584639E+4,
857.00,1.24191465E+4,
857.500,1.16292227E+4,
858.00,1.17619404E+4,
858.500,1.16126816E+4,
859.00,1.16926309E+4,
859.500,1.26281729E+4,
860.00,1.00274375E+4,
860.500,1.00700176E+4,
861.00,1.07672295E+4,
861.500,9.81069824E+3,
862.00,8.22330176E+3,
862.500,8.39577734E+3,
863.00,8.11447168E+3,
863.500,8.64448633E+3,
864.00,8.53873145E+3,
864.500,6.88733789E+3,
865.00,7.03978760E+3,
865.500,6.33627393E+3,
866.00,7.02858301E+3,
866.500,6.15456592E+3,
867.00,6.10086572E+3,
867.500,7.06708203E+3,
868.00,4.79194385E+3,
868.500,4.82285791E+3,
869.00,5.01313574E+3,
869.500,5.50760156E+3,
870.00,5.20447266E+3,
870.500,4.97719385E+3,
871.00,6.02358789E+3,
871.500,4.45912500E+3,
872.00,3.89626392E+3,
872.500,4.09742041E+3,
873.00,5.43895313E+3,
873.500,3.99988550E+3,
874.00,4.60498389E+3,
874.500,3.79320581E+3,
875.00,3.81773462E+3,
875.500,3.63138184E+3,
876.00,2.96117407E+3,
876.500,3.84280420E+3,
877.00,3.04025586E+3,
877.500,4.46338867E+3,
878.00,5.02513867E+3,
878.500,4.24420264E+3,
879.00,4.22942139E+3,
879.500,3.96318823E+3,
880.00,5.44677051E+3,
880.500,5.26154346E+3,
881.00,6.10491895E+3,
881.500,8.44476465E+3,
882.00,5.29785254E+3,
882.500,6.73309424E+3,
883.00,4.71168359E+3,
883.500,7.02822412E+3,
884.00,6.34864111E+3,
884.500,7.66116943E+3,
885.00,5.91206250E+3,
885.500,4.81208984E+3,
886.00,3.30053223E+3,
886.500,1.16086279E+3,
887.00,2.30235181E+3,
887.500,3.69973315E+3,
888.00,2.25149536E+3,
888.500,2.62467407E+3,
889.00,1.77165100E+3,
889.500,2.25909082E+3,
890.00,1.33442700E+3,
890.500,1.95118115E+3,
891.00,5.46911182E+3,
891.500,2.94214282E+3,
892.00,0.00000000E+0,
892.500,3.15227271E+3,
893.00,2.85158545E+3,
893.500,7.02700439E+2,
894.00,5.80699158E+2,
894.500,3.60696069E+3,
895.00,2.48344580E+3,
895.500,4.81855518E+3,
896.00,1.67213196E+2,
896.500,1.38299683E+3,
897.00,4.85067090E+3,
897.500,3.72115918E+3,
898.00,3.08664893E+3,
898.500,4.79228467E+3,
899.00,0.00000000E+0,
899.500,1.93474805E+3,
900.00,3.34074780E+3,
