Labels,FZS010_804_5,
Type,Emission Scan,
Comment,,
Start,700.00,
Stop,900.00,
Step,0.500,
Fixed/Offset,500.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

700.00,3.13063965E+3,
700.500,3.26161938E+3,
701.00,4.18327881E+3,
701.500,3.69984131E+3,
702.00,2.62799976E+3,
702.500,2.75993018E+3,
703.00,3.18802612E+3,
703.500,3.53223193E+3,
704.00,3.80157153E+3,
704.500,2.97214526E+3,
705.00,3.71048657E+3,
705.500,3.72145142E+3,
706.00,5.35784375E+3,
706.500,3.99863892E+3,
707.00,5.00598926E+3,
707.500,4.76630420E+3,
708.00,4.09008350E+3,
708.500,5.59784326E+3,
709.00,5.40829297E+3,
709.500,4.76252490E+3,
710.00,5.79190869E+3,
710.500,5.49716260E+3,
711.00,5.55905273E+3,
711.500,6.02222852E+3,
712.00,7.07176318E+3,
712.500,6.69230176E+3,
713.00,7.94056299E+3,
713.500,7.07404248E+3,
714.00,6.83305811E+3,
714.500,7.04787012E+3,
715.00,8.36400977E+3,
715.500,8.85231348E+3,
716.00,9.20669727E+3,
716.500,9.46892285E+3,
717.00,1.06586875E+4,
717.500,9.89362988E+3,
718.00,1.03552520E+4,
718.500,1.08205801E+4,
719.00,1.18691396E+4,
719.500,1.26833936E+4,
720.00,1.24770459E+4,
720.500,1.26997676E+4,
721.00,1.33665186E+4,
721.500,1.36593105E+4,
722.00,1.51083730E+4,
722.500,1.54038105E+4,
723.00,1.44959824E+4,
723.500,1.51896670E+4,
724.00,1.89726055E+4,
724.500,1.94315820E+4,
725.00,2.00442461E+4,
725.500,1.87308711E+4,
726.00,2.12011816E+4,
726.500,2.10877480E+4,
727.00,2.28700410E+4,
727.500,2.21064980E+4,
728.00,2.34143613E+4,
728.500,2.35708516E+4,
729.00,2.66254629E+4,
729.500,2.96685586E+4,
730.00,2.74349785E+4,
730.500,3.13055156E+4,
731.00,3.18445879E+4,
731.500,3.21624063E+4,
732.00,3.17995371E+4,
732.500,3.73945234E+4,
733.00,3.60358320E+4,
733.500,4.05291953E+4,
734.00,4.05412500E+4,
734.500,4.07716172E+4,
735.00,4.27141719E+4,
735.500,4.60507617E+4,
736.00,5.06765352E+4,
736.500,5.15271836E+4,
737.00,5.23267969E+4,
737.500,5.40515547E+4,
738.00,5.90134688E+4,
738.500,5.72186172E+4,
739.00,6.17698008E+4,
739.500,6.53396953E+4,
740.00,6.94791172E+4,
740.500,6.88056563E+4,
741.00,7.12683047E+4,
741.500,7.57839297E+4,
742.00,8.07161719E+4,
742.500,8.38800156E+4,
743.00,8.82821953E+4,
743.500,8.73489688E+4,
744.00,9.33948281E+4,
744.500,9.50703438E+4,
745.00,1.04599563E+5,
745.500,1.06244180E+5,
746.00,1.09087500E+5,
746.500,1.18370438E+5,
747.00,1.21589953E+5,
747.500,1.19387461E+5,
748.00,1.29208273E+5,
748.500,1.35617172E+5,
749.00,1.40180719E+5,
749.500,1.46844047E+5,
750.00,1.58107609E+5,
750.500,1.55247859E+5,
751.00,1.60344734E+5,
751.500,1.68675609E+5,
752.00,1.79688453E+5,
752.500,1.87609906E+5,
753.00,1.88356344E+5,
753.500,2.00201813E+5,
754.00,2.07508203E+5,
754.500,2.13192516E+5,
755.00,2.30512719E+5,
755.500,2.39332422E+5,
756.00,2.44462469E+5,
756.500,2.57829984E+5,
757.00,2.64557156E+5,
757.500,2.80093875E+5,
758.00,2.88105469E+5,
758.500,3.00656969E+5,
759.00,3.12615906E+5,
759.500,3.17765531E+5,
760.00,3.39098625E+5,
760.500,3.49827219E+5,
761.00,3.63279250E+5,
761.500,3.78180281E+5,
762.00,3.95468313E+5,
762.500,4.08597656E+5,
763.00,4.27709281E+5,
763.500,4.26623094E+5,
764.00,4.52045063E+5,
764.500,4.79823063E+5,
765.00,4.88596625E+5,
765.500,5.14763125E+5,
766.00,5.44181375E+5,
766.500,5.64173250E+5,
767.00,5.82405625E+5,
767.500,5.93296875E+5,
768.00,6.19202500E+5,
768.500,6.34469938E+5,
769.00,6.63492875E+5,
769.500,6.87622250E+5,
770.00,7.26110000E+5,
770.500,7.47426625E+5,
771.00,7.77159375E+5,
771.500,8.05018375E+5,
772.00,8.32269938E+5,
772.500,8.56180063E+5,
773.00,8.99751313E+5,
773.500,9.25022125E+5,
774.00,9.61189563E+5,
774.500,1.00090706E+6,
775.00,1.04316106E+6,
775.500,1.06592050E+6,
776.00,1.10721313E+6,
776.500,1.15068763E+6,
777.00,1.18518763E+6,
777.500,1.24269613E+6,
778.00,1.29111075E+6,
778.500,1.31977163E+6,
779.00,1.35282950E+6,
779.500,1.44068400E+6,
780.00,1.47272763E+6,
780.500,1.50149713E+6,
781.00,1.57494725E+6,
781.500,1.62019750E+6,
782.00,1.64747188E+6,
782.500,1.73384288E+6,
783.00,1.75193463E+6,
783.500,1.82917625E+6,
784.00,1.84876350E+6,
784.500,1.93594000E+6,
785.00,2.00036763E+6,
785.500,2.04182200E+6,
786.00,2.06162513E+6,
786.500,2.13666875E+6,
787.00,2.21055200E+6,
787.500,2.29148525E+6,
788.00,2.28990400E+6,
788.500,2.36460675E+6,
789.00,2.42891300E+6,
789.500,2.50872125E+6,
790.00,2.55005050E+6,
790.500,2.59053150E+6,
791.00,2.61712200E+6,
791.500,2.66445025E+6,
792.00,2.74118000E+6,
792.500,2.74691675E+6,
793.00,2.82411075E+6,
793.500,2.85162475E+6,
794.00,2.89637450E+6,
794.500,2.98791175E+6,
795.00,3.01473425E+6,
795.500,3.02874550E+6,
796.00,3.05075550E+6,
796.500,3.11079100E+6,
797.00,3.12516150E+6,
797.500,3.18373925E+6,
798.00,3.16703375E+6,
798.500,3.22685475E+6,
799.00,3.19513800E+6,
799.500,3.21319175E+6,
800.00,3.22907025E+6,
800.500,3.24200075E+6,
801.00,3.25401725E+6,
801.500,3.30692225E+6,
802.00,3.31062525E+6,
802.500,3.31597975E+6,
803.00,3.32373875E+6,
803.500,3.30356825E+6,
804.00,3.28980025E+6,
804.500,3.32575325E+6,
805.00,3.29481950E+6,
805.500,3.28682900E+6,
806.00,3.27623300E+6,
806.500,3.27160625E+6,
807.00,3.25346050E+6,
807.500,3.22347375E+6,
808.00,3.22514175E+6,
808.500,3.20823925E+6,
809.00,3.20128000E+6,
809.500,3.18058825E+6,
810.00,3.17278400E+6,
810.500,3.15086250E+6,
811.00,3.10165250E+6,
811.500,3.13878725E+6,
812.00,3.08596225E+6,
812.500,3.06051450E+6,
813.00,3.03316825E+6,
813.500,3.01358650E+6,
814.00,2.99469250E+6,
814.500,2.99570475E+6,
815.00,2.96306875E+6,
815.500,2.95297950E+6,
816.00,2.89503800E+6,
816.500,2.89415100E+6,
817.00,2.82327925E+6,
817.500,2.79376750E+6,
818.00,2.78744025E+6,
818.500,2.81864525E+6,
819.00,2.78265475E+6,
819.500,2.74277950E+6,
820.00,2.74761975E+6,
820.500,2.68451350E+6,
821.00,2.64235775E+6,
821.500,2.60715550E+6,
822.00,2.58396450E+6,
822.500,2.55265475E+6,
823.00,2.55074900E+6,
823.500,2.54578000E+6,
824.00,2.48436350E+6,
824.500,2.43991675E+6,
825.00,2.42000450E+6,
825.500,2.40410850E+6,
826.00,2.34575925E+6,
826.500,2.30828300E+6,
827.00,2.26131500E+6,
827.500,2.21526100E+6,
828.00,2.21096000E+6,
828.500,2.12026675E+6,
829.00,2.09923225E+6,
829.500,2.07678175E+6,
830.00,2.03122163E+6,
830.500,1.96546125E+6,
831.00,1.94028888E+6,
831.500,1.89618763E+6,
832.00,1.89692150E+6,
832.500,1.82315400E+6,
833.00,1.76527050E+6,
833.500,1.76073625E+6,
834.00,1.69333850E+6,
834.500,1.64985738E+6,
835.00,1.61660338E+6,
835.500,1.57330575E+6,
836.00,1.58388500E+6,
836.500,1.50400775E+6,
837.00,1.47167025E+6,
837.500,1.39591063E+6,
838.00,1.39340113E+6,
838.500,1.36046513E+6,
839.00,1.33395613E+6,
839.500,1.26688275E+6,
840.00,1.22099413E+6,
840.500,1.19077838E+6,
841.00,1.18199275E+6,
841.500,1.14888913E+6,
842.00,1.09808625E+6,
842.500,1.06027350E+6,
843.00,1.04148413E+6,
843.500,9.87022375E+5,
844.00,9.51720500E+5,
844.500,9.29177188E+5,
845.00,9.13147688E+5,
845.500,8.75199375E+5,
846.00,8.63714188E+5,
846.500,8.30511375E+5,
847.00,7.82562375E+5,
847.500,7.58473813E+5,
848.00,7.43562938E+5,
848.500,7.11019750E+5,
849.00,7.02557875E+5,
849.500,6.69356813E+5,
850.00,6.43988313E+5,
850.500,6.40579688E+5,
851.00,6.07146313E+5,
851.500,5.91227375E+5,
852.00,5.66024500E+5,
852.500,5.26228188E+5,
853.00,5.13681188E+5,
853.500,5.11590313E+5,
854.00,4.94127094E+5,
854.500,4.89375250E+5,
855.00,4.49040750E+5,
855.500,4.26391531E+5,
856.00,4.25324375E+5,
856.500,4.06618906E+5,
857.00,4.02078156E+5,
857.500,3.84237000E+5,
858.00,3.71949094E+5,
858.500,3.65758063E+5,
859.00,3.41802469E+5,
859.500,3.38287375E+5,
860.00,3.19960969E+5,
860.500,3.11273969E+5,
861.00,3.03073094E+5,
861.500,2.98794219E+5,
862.00,2.73984688E+5,
862.500,2.71707313E+5,
863.00,2.66935625E+5,
863.500,2.61149953E+5,
864.00,2.55469094E+5,
864.500,2.30039047E+5,
865.00,2.24249250E+5,
865.500,2.24058734E+5,
866.00,2.09377391E+5,
866.500,2.09646109E+5,
867.00,1.98575906E+5,
867.500,1.91892984E+5,
868.00,1.84101391E+5,
868.500,1.74532344E+5,
869.00,1.63282969E+5,
869.500,1.58933828E+5,
870.00,1.52982047E+5,
870.500,1.60578031E+5,
871.00,1.52891359E+5,
871.500,1.43027563E+5,
872.00,1.43388125E+5,
872.500,1.42850375E+5,
873.00,1.20364781E+5,
873.500,1.31496703E+5,
874.00,1.17558383E+5,
874.500,1.19163898E+5,
875.00,1.16914289E+5,
875.500,1.04762461E+5,
876.00,1.09753727E+5,
876.500,1.08292547E+5,
877.00,1.02389156E+5,
877.500,1.01924063E+5,
878.00,8.75583516E+4,
878.500,8.97594688E+4,
879.00,9.33922109E+4,
879.500,9.21521094E+4,
880.00,8.61034766E+4,
880.500,9.04440469E+4,
881.00,9.08026641E+4,
881.500,8.70914609E+4,
882.00,9.32519219E+4,
882.500,9.01817813E+4,
883.00,8.16243672E+4,
883.500,7.68274922E+4,
884.00,7.55192031E+4,
884.500,7.38128594E+4,
885.00,7.62758438E+4,
885.500,7.20426875E+4,
886.00,6.18977461E+4,
886.500,6.61962500E+4,
887.00,6.59241875E+4,
887.500,6.02775625E+4,
888.00,4.83788867E+4,
888.500,5.39877578E+4,
889.00,5.27489688E+4,
889.500,4.88261680E+4,
890.00,4.01731836E+4,
890.500,4.56523047E+4,
891.00,4.24159766E+4,
891.500,4.48821289E+4,
892.00,4.74786953E+4,
892.500,4.64756406E+4,
893.00,4.04455156E+4,
893.500,4.29482461E+4,
894.00,4.62009336E+4,
894.500,4.53848398E+4,
895.00,4.50493164E+4,
895.500,5.31523828E+4,
896.00,3.62393516E+4,
896.500,2.57447012E+4,
897.00,4.32724648E+4,
897.500,4.03692148E+4,
898.00,3.33276133E+4,
898.500,4.89901016E+4,
899.00,3.16574844E+4,
899.500,3.80111172E+4,
900.00,4.65761523E+4,
