001		  002		003		 004		  005		  006		  007		  008		  009		 010		  011		011-2		012		013		 014		015		 016		017		 018	
06/12_11:42:48	Time=83.000 sec	06/12_11:45:03	Time=82.000 sec	06/12_11:47:13	Time=82.000 sec	06/12_11:49:17	Time=83.000 sec	06/12_11:51:30	Time=83.000 sec	06/12_11:53:38	Time=82.000 sec	06/12_12:01:16	Time=83.000 sec	06/12_12:04:23	Time=83.000 sec	06/12_12:06:24	Time=83.000 sec	06/12_12:09:11	Time=82.000 sec	06/12_12:12:15	Time=82.000 sec	06/12_12:13:58	Time=82.000 sec	06/12_12:16:20	Time=82.000 sec	06/12_12:18:34	Time=82.000 sec	06/12_12:20:58	Time=82.000 sec	06/12_12:23:34	Time=82.000 sec	06/12_12:25:41	Time=82.000 sec	06/12_12:28:38	Time=83.000 sec	06/12_12:30:46	Time=82.000 sec
																																					
Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)
850.000000	71.142780	850.000000	70.378905	850.000000	71.770769	850.000000	70.030826	850.000000	80.324119	850.000000	82.154201	850.000000	70.376340	850.000000	69.855075	850.000000	69.846034	850.000000	78.717533	850.000000	75.720004	850.000000	76.022972	850.000000	74.676771	850.000000	73.937193	850.000000	80.458015	850.000000	80.559686	850.000000	82.028331	850.000000	68.107944	850.000000	71.210884
860.000000	71.068259	860.000000	70.453616	860.000000	71.737375	860.000000	70.251390	860.000000	83.476435	860.000000	80.489522	860.000000	69.942540	860.000000	72.240703	860.000000	71.611705	860.000000	79.570326	860.000000	76.364507	860.000000	76.165680	860.000000	75.232381	860.000000	74.390229	860.000000	80.930357	860.000000	80.521848	860.000000	82.308358	860.000000	68.975548	860.000000	71.731824
870.000000	71.448827	870.000000	70.852811	870.000000	72.220505	870.000000	70.840759	870.000000	85.603290	870.000000	78.351940	870.000000	69.997877	870.000000	73.716559	870.000000	73.048710	870.000000	79.233026	870.000000	76.394652	870.000000	76.089391	870.000000	75.367535	870.000000	75.142676	870.000000	81.071536	870.000000	80.953658	870.000000	82.491245	870.000000	69.458725	870.000000	72.151569
880.000000	72.188266	880.000000	72.153612	880.000000	73.204218	880.000000	72.541198	880.000000	87.343358	880.000000	76.808948	880.000000	71.306727	880.000000	75.893799	880.000000	75.484005	880.000000	79.923263	880.000000	76.773122	880.000000	76.826368	880.000000	76.158917	880.000000	75.494683	880.000000	81.444633	880.000000	81.191490	880.000000	82.951992	880.000000	70.627550	880.000000	72.798884
890.000000	72.479569	890.000000	73.029740	890.000000	73.350194	890.000000	73.849221	890.000000	87.465632	890.000000	75.213735	890.000000	71.705338	890.000000	77.666293	890.000000	77.384232	890.000000	79.693791	890.000000	76.988568	890.000000	77.001570	890.000000	76.003235	890.000000	75.615715	890.000000	81.624681	890.000000	81.366579	890.000000	83.265047	890.000000	70.288923	890.000000	72.876066
900.000000	73.271485	900.000000	74.649438	900.000000	74.091398	900.000000	75.360307	900.000000	87.233872	900.000000	73.723679	900.000000	72.727302	900.000000	79.622466	900.000000	79.368247	900.000000	79.903998	900.000000	77.247698	900.000000	77.240966	900.000000	76.284682	900.000000	75.954539	900.000000	81.706658	900.000000	81.637187	900.000000	83.497388	900.000000	70.791657	900.000000	73.543452
910.000000	73.847628	910.000000	76.031944	910.000000	74.370972	910.000000	76.827670	910.000000	86.097943	910.000000	72.463957	910.000000	73.517520	910.000000	81.609657	910.000000	81.200321	910.000000	79.778820	910.000000	77.359991	910.000000	77.361342	910.000000	76.417677	910.000000	76.046706	910.000000	81.788950	910.000000	81.601421	910.000000	83.537993	910.000000	70.604100	910.000000	73.535220
920.000000	74.769397	920.000000	77.787058	920.000000	75.076189	920.000000	78.483825	920.000000	84.758319	920.000000	71.696594	920.000000	75.028996	920.000000	83.387610	920.000000	83.182009	920.000000	80.006638	920.000000	77.671297	920.000000	77.787594	920.000000	76.570956	920.000000	76.402391	920.000000	82.081818	920.000000	81.874096	920.000000	83.710098	920.000000	71.135491	920.000000	73.922373
930.000000	75.318920	930.000000	79.378004	930.000000	75.650570	930.000000	80.134929	930.000000	82.253603	930.000000	70.818117	930.000000	76.346807	930.000000	85.189690	930.000000	85.159217	930.000000	80.104585	930.000000	77.305676	930.000000	77.491863	930.000000	77.098532	930.000000	76.449871	930.000000	81.884242	930.000000	81.854264	930.000000	83.716164	930.000000	71.290879	930.000000	73.928963
940.000000	76.188828	940.000000	81.136117	940.000000	76.441179	940.000000	81.600501	940.000000	80.466970	940.000000	70.814539	940.000000	78.165848	940.000000	87.027390	940.000000	86.868433	940.000000	80.318147	940.000000	77.760652	940.000000	77.601498	940.000000	77.698141	940.000000	76.628907	940.000000	82.106634	940.000000	82.065768	940.000000	83.727991	940.000000	71.559959	940.000000	74.226688
950.000000	76.422774	950.000000	82.373717	950.000000	76.875756	950.000000	82.508959	950.000000	78.473157	950.000000	70.720513	950.000000	79.727715	950.000000	88.152848	950.000000	88.089342	950.000000	80.357953	950.000000	78.064337	950.000000	77.833709	950.000000	77.906797	950.000000	76.583637	950.000000	82.118550	950.000000	81.932277	950.000000	83.826067	950.000000	71.790791	950.000000	74.484862
960.000000	76.812558	960.000000	83.412546	960.000000	77.499422	960.000000	83.549075	960.000000	76.736101	960.000000	71.277241	960.000000	81.588518	960.000000	89.497417	960.000000	89.592720	960.000000	80.689827	960.000000	78.308924	960.000000	78.254341	960.000000	78.342214	960.000000	77.025215	960.000000	82.609709	960.000000	82.307779	960.000000	84.127910	960.000000	71.789243	960.000000	74.599658
970.000000	76.877300	970.000000	84.538089	970.000000	78.028870	970.000000	84.093519	970.000000	75.606164	970.000000	71.991678	970.000000	83.191128	970.000000	90.560201	970.000000	90.694080	970.000000	81.000574	970.000000	78.534103	970.000000	78.571009	970.000000	79.390149	970.000000	77.431862	970.000000	82.737152	970.000000	82.809334	970.000000	84.411038	970.000000	72.377056	970.000000	74.871246
980.000000	76.719959	980.000000	84.941343	980.000000	78.414080	980.000000	84.287028	980.000000	74.457262	980.000000	72.992453	980.000000	84.803283	980.000000	91.018455	980.000000	91.155578	980.000000	81.313357	980.000000	78.558458	980.000000	78.716281	980.000000	79.615312	980.000000	77.476631	980.000000	82.797314	980.000000	82.858248	980.000000	84.503548	980.000000	72.679035	980.000000	75.092717
990.000000	76.345545	990.000000	84.966969	990.000000	78.790191	990.000000	84.032476	990.000000	73.272722	990.000000	74.163032	990.000000	86.039573	990.000000	91.328450	990.000000	91.555464	990.000000	81.576887	990.000000	78.776008	990.000000	78.577933	990.000000	80.339497	990.000000	77.694765	990.000000	82.952086	990.000000	82.994630	990.000000	84.447627	990.000000	72.833144	990.000000	75.236957
1000.000000	75.850245	1000.000000	84.166046	1000.000000	78.655213	1000.000000	83.399336	1000.000000	72.549219	1000.000000	75.224530	1000.000000	87.209845	1000.000000	91.117475	1000.000000	91.558638	1000.000000	81.519499	1000.000000	78.813399	1000.000000	78.900868	1000.000000	80.020629	1000.000000	77.732783	1000.000000	82.710318	1000.000000	82.882791	1000.000000	84.960577	1000.000000	72.479708	1000.000000	75.193303
1010.000000	75.588453	1010.000000	83.994860	1010.000000	78.732127	1010.000000	82.714750	1010.000000	72.371746	1010.000000	76.723424	1010.000000	88.119522	1010.000000	90.914392	1010.000000	91.217657	1010.000000	81.877699	1010.000000	79.123265	1010.000000	79.015799	1010.000000	81.099402	1010.000000	78.040789	1010.000000	83.011620	1010.000000	83.505824	1010.000000	84.906871	1010.000000	73.080002	1010.000000	75.444625
1020.000000	75.051980	1020.000000	82.423679	1020.000000	78.351000	1020.000000	81.589630	1020.000000	71.856616	1020.000000	77.628605	1020.000000	88.708591	1020.000000	89.955644	1020.000000	90.686160	1020.000000	81.888349	1020.000000	78.952960	1020.000000	78.748150	1020.000000	81.060510	1020.000000	77.783456	1020.000000	82.733918	1020.000000	83.056437	1020.000000	84.598396	1020.000000	72.456647	1020.000000	75.246120
1030.000000	74.909190	1030.000000	81.099807	1030.000000	77.867223	1030.000000	80.440253	1030.000000	71.974557	1030.000000	79.862094	1030.000000	88.824830	1030.000000	89.259137	1030.000000	90.059789	1030.000000	81.728852	1030.000000	78.830394	1030.000000	78.766247	1030.000000	81.365986	1030.000000	77.616121	1030.000000	82.725520	1030.000000	82.988823	1030.000000	84.395719	1030.000000	72.451640	1030.000000	74.976087
1040.000000	75.016623	1040.000000	80.095472	1040.000000	77.292766	1040.000000	79.427385	1040.000000	72.573971	1040.000000	80.970933	1040.000000	89.653775	1040.000000	88.946679	1040.000000	89.937699	1040.000000	82.614763	1040.000000	79.390618	1040.000000	79.004833	1040.000000	81.782463	1040.000000	77.748122	1040.000000	83.091918	1040.000000	83.434286	1040.000000	85.015014	1040.000000	72.991946	1040.000000	75.446026
1050.000000	74.918328	1050.000000	78.651327	1050.000000	77.268759	1050.000000	77.508480	1050.000000	73.006528	1050.000000	81.373128	1050.000000	89.426610	1050.000000	87.167218	1050.000000	88.130954	1050.000000	81.886288	1050.000000	78.671918	1050.000000	78.946775	1050.000000	82.029328	1050.000000	77.619621	1050.000000	83.188723	1050.000000	82.625997	1050.000000	83.859185	1050.000000	73.104218	1050.000000	75.165632
1060.000000	74.487640	1060.000000	76.663020	1060.000000	76.725898	1060.000000	77.043178	1060.000000	72.192454	1060.000000	82.836109	1060.000000	88.744191	1060.000000	86.065186	1060.000000	86.946363	1060.000000	82.320284	1060.000000	78.197179	1060.000000	78.984138	1060.000000	81.802657	1060.000000	77.735263	1060.000000	82.306503	1060.000000	82.872733	1060.000000	83.881130	1060.000000	72.188697	1060.000000	75.384664
1070.000000	75.435393	1070.000000	76.756646	1070.000000	75.863256	1070.000000	74.629810	1070.000000	73.775388	1070.000000	84.969099	1070.000000	87.840990	1070.000000	85.631750	1070.000000	86.082570	1070.000000	82.595244	1070.000000	78.504479	1070.000000	79.283371	1070.000000	82.470315	1070.000000	77.416655	1070.000000	81.036169	1070.000000	83.263269	1070.000000	84.855774	1070.000000	72.525014	1070.000000	74.184978
1080.000000	77.137733	1080.000000	74.494137	1080.000000	76.185018	1080.000000	75.394811	1080.000000	75.285145	1080.000000	84.752155	1080.000000	88.285167	1080.000000	83.702644	1080.000000	85.344907	1080.000000	82.412160	1080.000000	79.103317	1080.000000	78.598517	1080.000000	82.875469	1080.000000	77.244936	1080.000000	81.969115	1080.000000	83.122714	1080.000000	84.324231	1080.000000	71.620638	1080.000000	75.281833
1090.000000	77.918877	1090.000000	72.056918	1090.000000	75.332845	1090.000000	73.850637	1090.000000	76.470995	1090.000000	86.411452	1090.000000	88.345273	1090.000000	83.485288	1090.000000	84.680327	1090.000000	82.470977	1090.000000	79.607058	1090.000000	80.358504	1090.000000	82.902489	1090.000000	78.652835	1090.000000	81.474762	1090.000000	82.419817	1090.000000	84.559402	1090.000000	72.709763	1090.000000	74.477740
1100.000000	73.208615	1100.000000	68.201618	1100.000000	67.578752	1100.000000	70.492598	1100.000000	74.463804	1100.000000	85.234321	1100.000000	84.286838	1100.000000	80.261697	1100.000000	80.355577	1100.000000	78.347469	1100.000000	78.257614	1100.000000	77.659937	1100.000000	82.057572	1100.000000	75.076109	1100.000000	77.948552	1100.000000	81.579862	1100.000000	78.666173	1100.000000	69.218319	1100.000000	71.778622
