001		  002		003		 004		  005		  006		  007		  008		  009		 010		  011		011-2		012		013		 014		015		 016		017		 018	
06/12_11:42:48	Time=83.000 sec	06/12_11:45:03	Time=82.000 sec	06/12_11:47:13	Time=82.000 sec	06/12_11:49:17	Time=83.000 sec	06/12_11:51:30	Time=83.000 sec	06/12_11:53:38	Time=82.000 sec	06/12_12:01:16	Time=83.000 sec	06/12_12:04:23	Time=83.000 sec	06/12_12:06:24	Time=83.000 sec	06/12_12:09:11	Time=82.000 sec	06/12_12:12:15	Time=82.000 sec	06/12_12:13:58	Time=82.000 sec	06/12_12:16:20	Time=82.000 sec	06/12_12:18:34	Time=82.000 sec	06/12_12:20:58	Time=82.000 sec	06/12_12:23:34	Time=82.000 sec	06/12_12:25:41	Time=82.000 sec	06/12_12:28:38	Time=83.000 sec	06/12_12:30:46	Time=82.000 sec
																																					
Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)	Lambda (nm)	Transmittance (%)
420.000000	0.952962	420.000000	0.924040	420.000000	1.075871	420.000000	1.275901	420.000000	1.474468	420.000000	1.562955	420.000000	1.451103	420.000000	1.757725	420.000000	1.474586	420.000000	27.384208	420.000000	33.018188	420.000000	32.835905	420.000000	2.111349	420.000000	31.120750	420.000000	41.803547	420.000000	42.643246	420.000000	42.085013	420.000000	21.250868	420.000000	3.134949
430.000000	0.911361	430.000000	0.948001	430.000000	0.965816	430.000000	1.042105	430.000000	1.379368	430.000000	1.596595	430.000000	1.406410	430.000000	1.677838	430.000000	1.443891	430.000000	28.178749	430.000000	33.090077	430.000000	32.886476	430.000000	2.007585	430.000000	31.510202	430.000000	41.938060	430.000000	43.001272	430.000000	42.868330	430.000000	21.566944	430.000000	3.003703
440.000000	0.916803	440.000000	0.752137	440.000000	0.896519	440.000000	1.189015	440.000000	1.304400	440.000000	1.496990	440.000000	1.564137	440.000000	1.710103	440.000000	1.236649	440.000000	28.930716	440.000000	33.048975	440.000000	33.231347	440.000000	1.945504	440.000000	31.765429	440.000000	42.377580	440.000000	43.057637	440.000000	43.311406	440.000000	21.858082	440.000000	3.015070
450.000000	0.882701	450.000000	0.824597	450.000000	1.051417	450.000000	1.118014	450.000000	1.311875	450.000000	1.534530	450.000000	1.503528	450.000000	1.539363	450.000000	1.321009	450.000000	29.490824	450.000000	33.159964	450.000000	33.259131	450.000000	2.035911	450.000000	32.001462	450.000000	42.550327	450.000000	43.196757	450.000000	43.775918	450.000000	21.984238	450.000000	2.837773
460.000000	0.912557	460.000000	0.807791	460.000000	1.094938	460.000000	1.227392	460.000000	1.315423	460.000000	1.540466	460.000000	1.573933	460.000000	1.582988	460.000000	1.276585	460.000000	29.989491	460.000000	33.009740	460.000000	33.066668	460.000000	2.097156	460.000000	31.995065	460.000000	42.528135	460.000000	43.119393	460.000000	43.916072	460.000000	21.797605	460.000000	3.020585
470.000000	0.888434	470.000000	0.994818	470.000000	1.092491	470.000000	1.225968	470.000000	1.457531	470.000000	1.508142	470.000000	1.529426	470.000000	1.603755	470.000000	1.297151	470.000000	30.636945	470.000000	33.028996	470.000000	32.974547	470.000000	1.970027	470.000000	32.226039	470.000000	42.790668	470.000000	43.518622	470.000000	44.218183	470.000000	21.709184	470.000000	3.012488
480.000000	0.778190	480.000000	0.901498	480.000000	0.948523	480.000000	1.107507	480.000000	1.336434	480.000000	1.416951	480.000000	1.482134	480.000000	1.528225	480.000000	1.238754	480.000000	31.014412	480.000000	32.611165	480.000000	32.676678	480.000000	1.980954	480.000000	32.085575	480.000000	42.817161	480.000000	43.391848	480.000000	44.433249	480.000000	21.461178	480.000000	2.814633
490.000000	0.819948	490.000000	0.824230	490.000000	0.992326	490.000000	1.038708	490.000000	1.308843	490.000000	1.490768	490.000000	1.436254	490.000000	1.407323	490.000000	1.257874	490.000000	31.353450	490.000000	32.510903	490.000000	32.603301	490.000000	2.088553	490.000000	32.119033	490.000000	42.881203	490.000000	43.449849	490.000000	44.629316	490.000000	21.442728	490.000000	2.725750
500.000000	0.768404	500.000000	0.864123	500.000000	0.893332	500.000000	1.079021	500.000000	1.177009	500.000000	1.344618	500.000000	1.355509	500.000000	1.382438	500.000000	1.127328	500.000000	31.624637	500.000000	32.500613	500.000000	32.539942	500.000000	2.073704	500.000000	32.154998	500.000000	42.989285	500.000000	43.479259	500.000000	45.027162	500.000000	21.435667	500.000000	2.583840
510.000000	0.872777	510.000000	0.880917	510.000000	1.077289	510.000000	0.947420	510.000000	1.208461	510.000000	1.401044	510.000000	1.312935	510.000000	1.464628	510.000000	1.249203	510.000000	32.336236	510.000000	33.049178	510.000000	32.991278	510.000000	2.396515	510.000000	32.323318	510.000000	43.363150	510.000000	43.785106	510.000000	45.784777	510.000000	21.650261	510.000000	2.476919
