Labels,LN2-004 (RoomTemp) - 810nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,3.19165332E+3,
652.00,3.18458984E+3,
654.00,2.92959912E+3,
656.00,3.09869287E+3,
658.00,2.81319214E+3,
660.00,2.84276270E+3,
662.00,3.04971680E+3,
664.00,3.30842480E+3,
666.00,2.82078027E+3,
668.00,2.51393091E+3,
670.00,2.92091724E+3,
672.00,2.58760767E+3,
674.00,2.78369214E+3,
676.00,2.41091797E+3,
678.00,2.53751343E+3,
680.00,1.12652307E+3,
682.00,1.11851331E+3,
684.00,8.26850769E+2,
686.00,1.05752551E+3,
688.00,1.22823584E+3,
690.00,8.37796387E+2,
692.00,9.41411316E+2,
694.00,1.13933936E+3,
696.00,1.29707727E+3,
698.00,9.08277100E+2,
700.00,1.40563440E+3,
702.00,1.30325098E+3,
704.00,1.92181714E+3,
706.00,2.00276465E+3,
708.00,2.49853638E+3,
710.00,2.03969543E+3,
712.00,3.58426245E+3,
714.00,4.65731494E+3,
716.00,3.76933765E+3,
718.00,4.87462109E+3,
720.00,5.64480371E+3,
722.00,6.46355127E+3,
724.00,6.65226074E+3,
726.00,9.02729492E+3,
728.00,1.11491494E+4,
730.00,1.20874824E+4,
732.00,1.40867021E+4,
734.00,1.66242090E+4,
736.00,1.97467949E+4,
738.00,2.29490020E+4,
740.00,2.45036895E+4,
742.00,3.00658457E+4,
744.00,3.70183359E+4,
746.00,3.95441914E+4,
748.00,5.07383828E+4,
750.00,5.89628672E+4,
752.00,6.97562813E+4,
754.00,8.17158906E+4,
756.00,8.85805000E+4,
758.00,1.11080016E+5,
760.00,1.26272883E+5,
762.00,1.53161938E+5,
764.00,1.74701609E+5,
766.00,2.01020953E+5,
768.00,2.32077359E+5,
770.00,2.76891063E+5,
772.00,3.25141656E+5,
774.00,3.67851500E+5,
776.00,4.29483781E+5,
778.00,5.07195125E+5,
780.00,5.76364750E+5,
782.00,6.59494813E+5,
784.00,7.51990563E+5,
786.00,8.76125125E+5,
788.00,9.78478875E+5,
790.00,1.08705950E+6,
792.00,1.21389575E+6,
794.00,1.35293825E+6,
796.00,1.48061975E+6,
798.00,1.59776738E+6,
800.00,1.69870588E+6,
802.00,1.78939813E+6,
804.00,1.88027725E+6,
806.00,1.90653900E+6,
808.00,1.93969413E+6,
810.00,1.97116738E+6,
812.00,1.97143525E+6,
814.00,1.93438188E+6,
816.00,1.94173263E+6,
818.00,1.89503113E+6,
820.00,1.90049713E+6,
822.00,1.86289488E+6,
824.00,1.80715475E+6,
826.00,1.73999088E+6,
828.00,1.69472550E+6,
830.00,1.59075025E+6,
832.00,1.50236138E+6,
834.00,1.39675913E+6,
836.00,1.29309800E+6,
838.00,1.18892138E+6,
840.00,1.09463875E+6,
842.00,9.80449250E+5,
844.00,8.68555875E+5,
846.00,7.74735375E+5,
848.00,6.95189813E+5,
850.00,6.12007500E+5,
852.00,5.41955875E+5,
854.00,4.68587219E+5,
856.00,4.12559063E+5,
858.00,3.66058125E+5,
860.00,3.00720844E+5,
862.00,2.73783938E+5,
864.00,2.33040047E+5,
866.00,2.15662500E+5,
868.00,1.83666859E+5,
870.00,1.65106859E+5,
872.00,1.40041359E+5,
874.00,1.18891367E+5,
876.00,1.10605516E+5,
878.00,9.42234766E+4,
880.00,8.55756016E+4,
882.00,9.64302813E+4,
884.00,7.66963594E+4,
886.00,5.65571172E+4,
888.00,5.16120703E+4,
890.00,4.64825117E+4,
892.00,3.43991641E+4,
894.00,4.10969023E+4,
896.00,4.33321055E+4,
898.00,2.61706035E+4,
900.00,2.33412207E+4,
