Labels,LN2-005 (DryIce_-20C) - 810nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,4.22119580E+3,
652.00,4.37615625E+3,
654.00,4.35936426E+3,
656.00,3.50418286E+3,
658.00,3.73468970E+3,
660.00,4.26419189E+3,
662.00,3.76369067E+3,
664.00,4.06096484E+3,
666.00,3.60600684E+3,
668.00,3.37999878E+3,
670.00,3.36485913E+3,
672.00,3.81786230E+3,
674.00,3.60209692E+3,
676.00,3.31176489E+3,
678.00,4.11147803E+3,
680.00,8.89113586E+2,
682.00,7.24945923E+2,
684.00,8.68481079E+2,
686.00,1.44249304E+3,
688.00,1.39358167E+3,
690.00,1.97139282E+3,
692.00,1.57699524E+3,
694.00,2.09939404E+3,
696.00,2.15028540E+3,
698.00,2.66733936E+3,
700.00,2.70602026E+3,
702.00,2.46803687E+3,
704.00,3.52608862E+3,
706.00,3.67694336E+3,
708.00,4.43070850E+3,
710.00,5.77903662E+3,
712.00,6.19729053E+3,
714.00,7.27419385E+3,
716.00,9.08175879E+3,
718.00,1.02643145E+4,
720.00,1.17170908E+4,
722.00,1.52932236E+4,
724.00,1.55707627E+4,
726.00,1.93189785E+4,
728.00,2.19747813E+4,
730.00,2.79777227E+4,
732.00,2.93812031E+4,
734.00,3.49621563E+4,
736.00,4.44196133E+4,
738.00,5.08783906E+4,
740.00,5.97970391E+4,
742.00,6.94507578E+4,
744.00,8.30751484E+4,
746.00,9.80486484E+4,
748.00,1.14086352E+5,
750.00,1.36231984E+5,
752.00,1.54611609E+5,
754.00,1.85110344E+5,
756.00,2.15489000E+5,
758.00,2.52945703E+5,
760.00,2.91696531E+5,
762.00,3.33233594E+5,
764.00,4.00643344E+5,
766.00,4.65207563E+5,
768.00,5.35534500E+5,
770.00,6.31887625E+5,
772.00,7.24708813E+5,
774.00,8.32511750E+5,
776.00,9.50296938E+5,
778.00,1.09899250E+6,
780.00,1.23364188E+6,
782.00,1.39218863E+6,
784.00,1.56536663E+6,
786.00,1.72948288E+6,
788.00,1.89115313E+6,
790.00,2.07652138E+6,
792.00,2.19507700E+6,
794.00,2.30283250E+6,
796.00,2.42795625E+6,
798.00,2.51078300E+6,
800.00,2.59688500E+6,
802.00,2.61449200E+6,
804.00,2.62866550E+6,
806.00,2.65975250E+6,
808.00,2.67489525E+6,
810.00,2.69046550E+6,
812.00,2.67482725E+6,
814.00,2.65283525E+6,
816.00,2.62872175E+6,
818.00,2.58231450E+6,
820.00,2.53961500E+6,
822.00,2.50970925E+6,
824.00,2.43663275E+6,
826.00,2.31403475E+6,
828.00,2.23109325E+6,
830.00,2.10061975E+6,
832.00,1.95722338E+6,
834.00,1.77410563E+6,
836.00,1.60647700E+6,
838.00,1.47742188E+6,
840.00,1.29608775E+6,
842.00,1.14550663E+6,
844.00,1.00935600E+6,
846.00,8.82641000E+5,
848.00,7.70263938E+5,
850.00,6.71709250E+5,
852.00,5.86832625E+5,
854.00,5.07441656E+5,
856.00,4.40349719E+5,
858.00,3.68250469E+5,
860.00,3.14394000E+5,
862.00,2.81176406E+5,
864.00,2.41528422E+5,
866.00,2.04786344E+5,
868.00,1.74918172E+5,
870.00,1.53570375E+5,
872.00,1.32393094E+5,
874.00,1.15358734E+5,
876.00,9.83909063E+4,
878.00,8.80852109E+4,
880.00,7.79918828E+4,
882.00,7.41823672E+4,
884.00,6.26385586E+4,
886.00,5.95308242E+4,
888.00,4.47765977E+4,
890.00,4.06510078E+4,
892.00,4.54867656E+4,
894.00,3.86769922E+4,
896.00,2.50549141E+4,
898.00,2.52191289E+4,
900.00,2.42904746E+4,
