Labels,LN2-014(LN_-50C) - 810nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,6.69533154E+3,
652.00,5.77925684E+3,
654.00,6.25022803E+3,
656.00,5.92680859E+3,
658.00,5.83936523E+3,
660.00,4.97231396E+3,
662.00,6.25304248E+3,
664.00,4.95231396E+3,
666.00,4.92260156E+3,
668.00,5.53206396E+3,
670.00,5.36694775E+3,
672.00,5.16483008E+3,
674.00,5.05152002E+3,
676.00,5.04259521E+3,
678.00,4.80050488E+3,
680.00,1.53145667E+3,
682.00,1.72152246E+3,
684.00,2.37596362E+3,
686.00,1.81057776E+3,
688.00,2.17030762E+3,
690.00,2.31451343E+3,
692.00,2.16172168E+3,
694.00,2.14827173E+3,
696.00,2.34401855E+3,
698.00,2.11639111E+3,
700.00,2.58755566E+3,
702.00,2.27591772E+3,
704.00,3.06184692E+3,
706.00,4.45732715E+3,
708.00,4.18319385E+3,
710.00,4.45560010E+3,
712.00,5.85721680E+3,
714.00,5.75698828E+3,
716.00,6.42330469E+3,
718.00,6.74455762E+3,
720.00,8.45912012E+3,
722.00,7.83308203E+3,
724.00,1.04317324E+4,
726.00,1.41169219E+4,
728.00,1.60398203E+4,
730.00,1.50889590E+4,
732.00,1.77793340E+4,
734.00,2.23338281E+4,
736.00,2.34881074E+4,
738.00,2.67131230E+4,
740.00,3.08035781E+4,
742.00,3.81220977E+4,
744.00,4.24574141E+4,
746.00,4.98432656E+4,
748.00,5.91529414E+4,
750.00,6.85957578E+4,
752.00,7.80802188E+4,
754.00,9.07840469E+4,
756.00,1.06373922E+5,
758.00,1.26711273E+5,
760.00,1.42566688E+5,
762.00,1.71255625E+5,
764.00,1.97838953E+5,
766.00,2.33923219E+5,
768.00,2.64456375E+5,
770.00,3.09993375E+5,
772.00,3.53977781E+5,
774.00,4.06798969E+5,
776.00,4.58007406E+5,
778.00,5.33386313E+5,
780.00,6.07694500E+5,
782.00,6.92317875E+5,
784.00,7.78929500E+5,
786.00,8.63305688E+5,
788.00,9.62341188E+5,
790.00,1.07193200E+6,
792.00,1.16822338E+6,
794.00,1.28685725E+6,
796.00,1.37882675E+6,
798.00,1.49181238E+6,
800.00,1.57782025E+6,
802.00,1.64399225E+6,
804.00,1.73806513E+6,
806.00,1.77059363E+6,
808.00,1.79430975E+6,
810.00,1.81921138E+6,
812.00,1.79590588E+6,
814.00,1.73149988E+6,
816.00,1.69384138E+6,
818.00,1.59391200E+6,
820.00,1.52023638E+6,
822.00,1.40940213E+6,
824.00,1.29149013E+6,
826.00,1.18320313E+6,
828.00,1.05143175E+6,
830.00,9.46622000E+5,
832.00,8.21544438E+5,
834.00,7.30264875E+5,
836.00,6.53321813E+5,
838.00,5.74655875E+5,
840.00,4.97716656E+5,
842.00,4.33134906E+5,
844.00,3.71191938E+5,
846.00,3.18484438E+5,
848.00,2.79099438E+5,
850.00,2.43449141E+5,
852.00,2.10366906E+5,
854.00,1.82068063E+5,
856.00,1.56951641E+5,
858.00,1.39135094E+5,
860.00,1.18852477E+5,
862.00,1.11905047E+5,
864.00,8.82160156E+4,
866.00,7.84771406E+4,
868.00,6.92068516E+4,
870.00,6.13427773E+4,
872.00,5.28109648E+4,
874.00,4.82008359E+4,
876.00,3.96290938E+4,
878.00,3.75031797E+4,
880.00,4.73983906E+4,
882.00,5.37703477E+4,
884.00,4.16591367E+4,
886.00,2.63037441E+4,
888.00,2.02823340E+4,
890.00,1.66823164E+4,
892.00,2.32757480E+4,
894.00,2.27835469E+4,
896.00,3.52960664E+4,
898.00,1.74026113E+4,
900.00,1.58998027E+4,
