Labels,LN2-011(LN_-50C) - 808nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,6.93058057E+3,
652.00,6.82184570E+3,
654.00,5.82244629E+3,
656.00,6.04598926E+3,
658.00,5.20721436E+3,
660.00,5.89187793E+3,
662.00,6.26104346E+3,
664.00,5.45078955E+3,
666.00,5.65580957E+3,
668.00,5.51322070E+3,
670.00,5.89692920E+3,
672.00,5.17659570E+3,
674.00,5.17569873E+3,
676.00,5.24869824E+3,
678.00,5.49176367E+3,
680.00,1.45328491E+3,
682.00,1.40461865E+3,
684.00,1.66253406E+3,
686.00,1.70865881E+3,
688.00,1.73487451E+3,
690.00,2.07965430E+3,
692.00,2.24518555E+3,
694.00,2.20309937E+3,
696.00,2.01712244E+3,
698.00,1.76014819E+3,
700.00,2.44945313E+3,
702.00,2.05810205E+3,
704.00,2.18577954E+3,
706.00,2.62775317E+3,
708.00,3.13205273E+3,
710.00,3.01987769E+3,
712.00,4.35049121E+3,
714.00,4.63400098E+3,
716.00,3.52387793E+3,
718.00,4.38589648E+3,
720.00,4.73206543E+3,
722.00,5.39920459E+3,
724.00,6.50214209E+3,
726.00,9.00848242E+3,
728.00,9.36751855E+3,
730.00,9.05505469E+3,
732.00,9.61384277E+3,
734.00,1.15037217E+4,
736.00,1.39568916E+4,
738.00,1.52207295E+4,
740.00,1.84910898E+4,
742.00,1.96925313E+4,
744.00,2.37487168E+4,
746.00,2.55936738E+4,
748.00,3.14811914E+4,
750.00,3.64483633E+4,
752.00,4.37444961E+4,
754.00,4.56165156E+4,
756.00,5.65398320E+4,
758.00,6.56489609E+4,
760.00,7.54741484E+4,
762.00,8.76904766E+4,
764.00,1.04293016E+5,
766.00,1.19584117E+5,
768.00,1.36458766E+5,
770.00,1.60339938E+5,
772.00,1.83886438E+5,
774.00,2.16398391E+5,
776.00,2.42125781E+5,
778.00,2.76074688E+5,
780.00,3.21046406E+5,
782.00,3.60372250E+5,
784.00,4.01146406E+5,
786.00,4.44858469E+5,
788.00,4.99619250E+5,
790.00,5.46346375E+5,
792.00,5.94769438E+5,
794.00,6.53773500E+5,
796.00,6.96471313E+5,
798.00,7.29727563E+5,
800.00,7.73342438E+5,
802.00,7.87991500E+5,
804.00,8.21099125E+5,
806.00,8.35394438E+5,
808.00,8.45019063E+5,
810.00,8.45357313E+5,
812.00,8.28582938E+5,
814.00,8.09141813E+5,
816.00,7.63711500E+5,
818.00,7.31180000E+5,
820.00,6.95217688E+5,
822.00,6.52372250E+5,
824.00,6.05417375E+5,
826.00,5.33433500E+5,
828.00,4.92018938E+5,
830.00,4.33277125E+5,
832.00,3.86348188E+5,
834.00,3.41067938E+5,
836.00,3.03441719E+5,
838.00,2.60321516E+5,
840.00,2.24237719E+5,
842.00,1.97849313E+5,
844.00,1.68079172E+5,
846.00,1.47383359E+5,
848.00,1.26197891E+5,
850.00,1.08952539E+5,
852.00,9.25833750E+4,
854.00,7.76208125E+4,
856.00,6.98728906E+4,
858.00,6.17594219E+4,
860.00,5.15594336E+4,
862.00,4.77303359E+4,
864.00,3.90900352E+4,
866.00,3.43995586E+4,
868.00,2.97171289E+4,
870.00,2.90533359E+4,
872.00,2.85617949E+4,
874.00,2.45963613E+4,
876.00,2.34329492E+4,
878.00,1.95858281E+4,
880.00,2.75669688E+4,
882.00,3.79426992E+4,
884.00,2.85966230E+4,
886.00,1.76600254E+4,
888.00,9.12640820E+3,
890.00,1.11722861E+4,
892.00,8.50131738E+3,
894.00,1.28472510E+4,
896.00,1.87630703E+4,
898.00,1.15282373E+4,
900.00,7.45637646E+3,
