Labels,LN2-007 (DryIce_-20C) - 800nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,3.88984424E+3,
652.00,5.32860938E+3,
654.00,4.56097559E+3,
656.00,4.78947656E+3,
658.00,4.74215430E+3,
660.00,4.64660791E+3,
662.00,3.88026611E+3,
664.00,3.96530688E+3,
666.00,3.45281665E+3,
668.00,4.33002295E+3,
670.00,4.46903662E+3,
672.00,4.02530737E+3,
674.00,3.72775562E+3,
676.00,4.04954980E+3,
678.00,3.57360156E+3,
680.00,9.56315308E+2,
682.00,1.05553748E+3,
684.00,1.02451074E+3,
686.00,1.51197070E+3,
688.00,1.21266028E+3,
690.00,1.99574280E+3,
692.00,1.60064844E+3,
694.00,2.19625342E+3,
696.00,2.51451416E+3,
698.00,2.76842822E+3,
700.00,3.47461694E+3,
702.00,2.79017944E+3,
704.00,3.77395166E+3,
706.00,3.83535693E+3,
708.00,4.76422412E+3,
710.00,6.57413916E+3,
712.00,6.59140771E+3,
714.00,8.22352344E+3,
716.00,9.19053906E+3,
718.00,1.06389473E+4,
720.00,1.23873584E+4,
722.00,1.32838750E+4,
724.00,1.79043203E+4,
726.00,2.09560664E+4,
728.00,2.57832422E+4,
730.00,2.56419043E+4,
732.00,3.12299902E+4,
734.00,3.81329063E+4,
736.00,4.29537813E+4,
738.00,5.14889883E+4,
740.00,5.94281563E+4,
742.00,7.17718750E+4,
744.00,8.38710469E+4,
746.00,9.55303203E+4,
748.00,1.11845563E+5,
750.00,1.33564781E+5,
752.00,1.58202109E+5,
754.00,1.86001594E+5,
756.00,2.14145078E+5,
758.00,2.55886813E+5,
760.00,2.91385500E+5,
762.00,3.51119813E+5,
764.00,4.06738938E+5,
766.00,4.74914344E+5,
768.00,5.45033250E+5,
770.00,6.28264250E+5,
772.00,7.27178063E+5,
774.00,8.40726625E+5,
776.00,9.75895250E+5,
778.00,1.10104800E+6,
780.00,1.25364613E+6,
782.00,1.42808813E+6,
784.00,1.58453588E+6,
786.00,1.75984825E+6,
788.00,1.91457475E+6,
790.00,2.05882450E+6,
792.00,2.19573975E+6,
794.00,2.31389525E+6,
796.00,2.38679900E+6,
798.00,2.46290350E+6,
800.00,2.47606775E+6,
802.00,2.46319350E+6,
804.00,2.41377500E+6,
806.00,2.36988750E+6,
808.00,2.25990350E+6,
810.00,2.18951950E+6,
812.00,2.08675075E+6,
814.00,2.00928425E+6,
816.00,1.89520638E+6,
818.00,1.81954488E+6,
820.00,1.70732063E+6,
822.00,1.62121213E+6,
824.00,1.52383213E+6,
826.00,1.41336888E+6,
828.00,1.30929963E+6,
830.00,1.20632063E+6,
832.00,1.11047663E+6,
834.00,9.96797875E+5,
836.00,9.04013625E+5,
838.00,8.15869313E+5,
840.00,7.20755938E+5,
842.00,6.39727375E+5,
844.00,5.66458313E+5,
846.00,4.95687969E+5,
848.00,4.39062375E+5,
850.00,3.74935031E+5,
852.00,3.37011438E+5,
854.00,2.93336875E+5,
856.00,2.65733156E+5,
858.00,2.34236453E+5,
860.00,2.06532906E+5,
862.00,1.85767422E+5,
864.00,1.61151375E+5,
866.00,1.34052609E+5,
868.00,1.24345617E+5,
870.00,1.13643281E+5,
872.00,9.30590000E+4,
874.00,8.20770313E+4,
876.00,7.92237813E+4,
878.00,6.45112578E+4,
880.00,6.23351523E+4,
882.00,6.69353906E+4,
884.00,5.41139102E+4,
886.00,4.55616367E+4,
888.00,4.29635156E+4,
890.00,3.14349785E+4,
892.00,3.46348555E+4,
894.00,3.77967773E+4,
896.00,3.49072461E+4,
898.00,2.53361738E+4,
900.00,2.22534160E+4,
