Labels,LN2-017(DryIce_-20C) - AirQuench - 810nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,8.04844922E+3,
652.00,8.52017871E+3,
654.00,7.17669824E+3,
656.00,6.76547803E+3,
658.00,6.85346826E+3,
660.00,6.97337109E+3,
662.00,6.46143652E+3,
664.00,6.97046777E+3,
666.00,5.61018262E+3,
668.00,6.32171240E+3,
670.00,6.29093262E+3,
672.00,6.84575244E+3,
674.00,6.11071973E+3,
676.00,6.31244141E+3,
678.00,5.19248389E+3,
680.00,1.90984875E+3,
682.00,2.10259766E+3,
684.00,2.25991821E+3,
686.00,1.93811108E+3,
688.00,2.52239551E+3,
690.00,2.53603223E+3,
692.00,2.59517236E+3,
694.00,2.81864697E+3,
696.00,2.80739600E+3,
698.00,2.15285620E+3,
700.00,2.65004419E+3,
702.00,2.51578809E+3,
704.00,2.78024268E+3,
706.00,3.07035107E+3,
708.00,3.54883203E+3,
710.00,3.70777002E+3,
712.00,5.01903516E+3,
714.00,5.20458154E+3,
716.00,6.13136279E+3,
718.00,4.49417383E+3,
720.00,5.77549023E+3,
722.00,6.48691211E+3,
724.00,9.15206445E+3,
726.00,9.80677832E+3,
728.00,1.16070352E+4,
730.00,1.14846523E+4,
732.00,1.38308193E+4,
734.00,1.43165850E+4,
736.00,1.76643457E+4,
738.00,1.85235547E+4,
740.00,2.32458438E+4,
742.00,2.63375664E+4,
744.00,2.93975410E+4,
746.00,3.43825586E+4,
748.00,4.10026953E+4,
750.00,4.58491758E+4,
752.00,5.33282148E+4,
754.00,6.11981016E+4,
756.00,7.26678125E+4,
758.00,8.54253047E+4,
760.00,9.71789453E+4,
762.00,1.11151898E+5,
764.00,1.33368578E+5,
766.00,1.53182250E+5,
768.00,1.73256750E+5,
770.00,1.96703141E+5,
772.00,2.31565625E+5,
774.00,2.69483719E+5,
776.00,3.05845219E+5,
778.00,3.56419906E+5,
780.00,4.04891500E+5,
782.00,4.54162563E+5,
784.00,5.21664000E+5,
786.00,5.75718188E+5,
788.00,6.39058438E+5,
790.00,7.12534000E+5,
792.00,7.82617313E+5,
794.00,8.37851125E+5,
796.00,9.07603125E+5,
798.00,9.88022500E+5,
800.00,1.02840506E+6,
802.00,1.10136563E+6,
804.00,1.13572900E+6,
806.00,1.17480625E+6,
808.00,1.18577588E+6,
810.00,1.19750900E+6,
812.00,1.18168738E+6,
814.00,1.16905425E+6,
816.00,1.14302463E+6,
818.00,1.09392025E+6,
820.00,1.06650413E+6,
822.00,9.99031563E+5,
824.00,9.46850188E+5,
826.00,8.64025250E+5,
828.00,7.75883125E+5,
830.00,7.01819688E+5,
832.00,6.29278500E+5,
834.00,5.47399625E+5,
836.00,4.92660375E+5,
838.00,4.49537313E+5,
840.00,3.85659813E+5,
842.00,3.36539625E+5,
844.00,2.91318625E+5,
846.00,2.51272422E+5,
848.00,2.17722828E+5,
850.00,1.87179453E+5,
852.00,1.64514313E+5,
854.00,1.45838297E+5,
856.00,1.19091773E+5,
858.00,1.10647742E+5,
860.00,8.80000859E+4,
862.00,7.92858359E+4,
864.00,6.52247266E+4,
866.00,6.42964570E+4,
868.00,5.42490820E+4,
870.00,4.81920195E+4,
872.00,4.23000234E+4,
874.00,3.58656523E+4,
876.00,3.69151406E+4,
878.00,3.08214258E+4,
880.00,3.17647441E+4,
882.00,4.64701289E+4,
884.00,4.22736641E+4,
886.00,2.64470352E+4,
888.00,1.79306719E+4,
890.00,1.79935410E+4,
892.00,1.45044102E+4,
894.00,1.90091895E+4,
896.00,1.94616113E+4,
898.00,1.65182539E+4,
900.00,1.21984951E+4,
