Labels,LN2-006 (DryIce_-20C) - 810nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,6.35854004E+3,
652.00,6.14181787E+3,
654.00,5.30201465E+3,
656.00,5.61583594E+3,
658.00,5.29446191E+3,
660.00,5.45355957E+3,
662.00,5.52332959E+3,
664.00,6.08533740E+3,
666.00,4.99354297E+3,
668.00,5.83203516E+3,
670.00,4.49027441E+3,
672.00,4.94568506E+3,
674.00,4.76185400E+3,
676.00,4.38273340E+3,
678.00,4.90969873E+3,
680.00,1.40239246E+3,
682.00,1.15244238E+3,
684.00,1.12279785E+3,
686.00,1.20661853E+3,
688.00,1.40805457E+3,
690.00,1.35708569E+3,
692.00,1.94699280E+3,
694.00,2.52785767E+3,
696.00,2.14648901E+3,
698.00,2.77001367E+3,
700.00,3.81325439E+3,
702.00,3.81488135E+3,
704.00,4.10276807E+3,
706.00,4.37170068E+3,
708.00,6.13542529E+3,
710.00,5.74133887E+3,
712.00,8.40350781E+3,
714.00,9.14659277E+3,
716.00,1.02493652E+4,
718.00,1.29566943E+4,
720.00,1.51839629E+4,
722.00,1.74183848E+4,
724.00,1.94309004E+4,
726.00,2.50244512E+4,
728.00,2.91753945E+4,
730.00,3.36547227E+4,
732.00,3.79111328E+4,
734.00,4.63938320E+4,
736.00,5.27527930E+4,
738.00,6.23157578E+4,
740.00,7.43140547E+4,
742.00,8.72994063E+4,
744.00,9.96089141E+4,
746.00,1.20690258E+5,
748.00,1.41139203E+5,
750.00,1.68469172E+5,
752.00,1.91318406E+5,
754.00,2.32009203E+5,
756.00,2.69333906E+5,
758.00,3.19482000E+5,
760.00,3.70495969E+5,
762.00,4.24368594E+5,
764.00,5.04336250E+5,
766.00,5.83461688E+5,
768.00,6.73648000E+5,
770.00,7.72584750E+5,
772.00,9.00829688E+5,
774.00,1.04701794E+6,
776.00,1.21478663E+6,
778.00,1.37366538E+6,
780.00,1.56100250E+6,
782.00,1.77516263E+6,
784.00,1.98810263E+6,
786.00,2.22377625E+6,
788.00,2.45728075E+6,
790.00,2.70235200E+6,
792.00,2.89837600E+6,
794.00,3.11504975E+6,
796.00,3.25371000E+6,
798.00,3.41566500E+6,
800.00,3.51149850E+6,
802.00,3.61230875E+6,
804.00,3.64888925E+6,
806.00,3.61643100E+6,
808.00,3.59797725E+6,
810.00,3.51083550E+6,
812.00,3.44552300E+6,
814.00,3.34805750E+6,
816.00,3.23641450E+6,
818.00,3.10131575E+6,
820.00,2.96497375E+6,
822.00,2.83136925E+6,
824.00,2.66105600E+6,
826.00,2.49761050E+6,
828.00,2.30582225E+6,
830.00,2.12096525E+6,
832.00,1.89239250E+6,
834.00,1.71580488E+6,
836.00,1.50738913E+6,
838.00,1.33993638E+6,
840.00,1.18740488E+6,
842.00,1.02124319E+6,
844.00,8.91840438E+5,
846.00,7.67468375E+5,
848.00,6.48437750E+5,
850.00,5.57063188E+5,
852.00,5.02441063E+5,
854.00,4.14541438E+5,
856.00,3.56358031E+5,
858.00,3.07552813E+5,
860.00,2.53685750E+5,
862.00,2.25011875E+5,
864.00,1.93919578E+5,
866.00,1.69803047E+5,
868.00,1.46252609E+5,
870.00,1.23881961E+5,
872.00,1.04952672E+5,
874.00,8.85485469E+4,
876.00,7.89758438E+4,
878.00,6.78830547E+4,
880.00,5.99405781E+4,
882.00,5.53266328E+4,
884.00,5.39101172E+4,
886.00,4.52644961E+4,
888.00,3.21897734E+4,
890.00,3.24767480E+4,
892.00,3.27291992E+4,
894.00,2.28058711E+4,
896.00,2.66168125E+4,
898.00,1.56420186E+4,
900.00,1.69624258E+4,
