Labels,LN2-003 (RoomTemp) - 818nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,4.59883789E+3,
652.00,4.63887305E+3,
654.00,3.70320996E+3,
656.00,3.98420093E+3,
658.00,3.97992285E+3,
660.00,4.53662305E+3,
662.00,3.75396899E+3,
664.00,4.17991406E+3,
666.00,3.89112769E+3,
668.00,3.84824780E+3,
670.00,4.01956543E+3,
672.00,3.64023291E+3,
674.00,3.24510913E+3,
676.00,3.56691675E+3,
678.00,3.26164355E+3,
680.00,7.85215698E+2,
682.00,1.15742749E+3,
684.00,1.04215454E+3,
686.00,1.69548743E+3,
688.00,1.29477258E+3,
690.00,1.47107593E+3,
692.00,1.42309436E+3,
694.00,2.16639795E+3,
696.00,1.74800073E+3,
698.00,2.22666528E+3,
700.00,2.13812207E+3,
702.00,2.68786865E+3,
704.00,2.25185352E+3,
706.00,2.97137769E+3,
708.00,3.13937329E+3,
710.00,3.10831616E+3,
712.00,4.75010889E+3,
714.00,5.03171338E+3,
716.00,5.55497119E+3,
718.00,6.36684912E+3,
720.00,6.84316113E+3,
722.00,8.77860742E+3,
724.00,9.93106543E+3,
726.00,1.17702656E+4,
728.00,1.37707432E+4,
730.00,1.48836797E+4,
732.00,1.77503496E+4,
734.00,1.97014590E+4,
736.00,2.45565020E+4,
738.00,2.69229434E+4,
740.00,3.22971992E+4,
742.00,3.78085508E+4,
744.00,4.54762109E+4,
746.00,5.20691641E+4,
748.00,5.86966797E+4,
750.00,7.38816641E+4,
752.00,8.15818359E+4,
754.00,9.84793359E+4,
756.00,1.10662961E+5,
758.00,1.33062266E+5,
760.00,1.56679609E+5,
762.00,1.83640391E+5,
764.00,2.14125297E+5,
766.00,2.51374563E+5,
768.00,2.91606281E+5,
770.00,3.41991563E+5,
772.00,3.93268000E+5,
774.00,4.54226906E+5,
776.00,5.31245750E+5,
778.00,6.14177625E+5,
780.00,7.15146813E+5,
782.00,8.13534875E+5,
784.00,9.14038750E+5,
786.00,1.04463063E+6,
788.00,1.17839463E+6,
790.00,1.34088450E+6,
792.00,1.48323813E+6,
794.00,1.64285063E+6,
796.00,1.79325475E+6,
798.00,1.96873700E+6,
800.00,2.10750675E+6,
802.00,2.26279975E+6,
804.00,2.39384175E+6,
806.00,2.48442725E+6,
808.00,2.59098650E+6,
810.00,2.68690600E+6,
812.00,2.77405750E+6,
814.00,2.79366525E+6,
816.00,2.84923100E+6,
818.00,2.87113150E+6,
820.00,2.84806750E+6,
822.00,2.85306000E+6,
824.00,2.77867350E+6,
826.00,2.65502350E+6,
828.00,2.53647175E+6,
830.00,2.41630925E+6,
832.00,2.26166175E+6,
834.00,2.04661963E+6,
836.00,1.87026700E+6,
838.00,1.70295225E+6,
840.00,1.49991025E+6,
842.00,1.33794800E+6,
844.00,1.18921663E+6,
846.00,1.05243900E+6,
848.00,9.31484563E+5,
850.00,8.07317688E+5,
852.00,7.05958438E+5,
854.00,5.95248250E+5,
856.00,5.45523750E+5,
858.00,4.64344750E+5,
860.00,4.00633969E+5,
862.00,3.38367031E+5,
864.00,2.99913344E+5,
866.00,2.55132172E+5,
868.00,2.30153703E+5,
870.00,1.91886953E+5,
872.00,1.72612891E+5,
874.00,1.56841672E+5,
876.00,1.27674781E+5,
878.00,1.16405727E+5,
880.00,1.13451547E+5,
882.00,1.19350938E+5,
884.00,9.64576250E+4,
886.00,7.23673594E+4,
888.00,6.68656797E+4,
890.00,5.56037734E+4,
892.00,5.23357227E+4,
894.00,5.14793633E+4,
896.00,4.72136836E+4,
898.00,3.71160586E+4,
900.00,3.07570586E+4,
