Labels,LN2-012(LN_-50C) - 802nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,4.42938037E+3,
652.00,4.09058350E+3,
654.00,4.16090088E+3,
656.00,4.00601758E+3,
658.00,3.59038062E+3,
660.00,3.53883203E+3,
662.00,3.74352368E+3,
664.00,3.37413086E+3,
666.00,3.60532349E+3,
668.00,3.61142578E+3,
670.00,3.83544116E+3,
672.00,3.17271558E+3,
674.00,3.55955835E+3,
676.00,3.46520776E+3,
678.00,3.34414087E+3,
680.00,1.21654675E+3,
682.00,1.29666357E+3,
684.00,1.57761621E+3,
686.00,1.31025928E+3,
688.00,1.23716467E+3,
690.00,1.82124475E+3,
692.00,1.77744482E+3,
694.00,2.22305493E+3,
696.00,2.03954749E+3,
698.00,2.52434204E+3,
700.00,2.77810034E+3,
702.00,3.01377979E+3,
704.00,2.88391089E+3,
706.00,3.10673096E+3,
708.00,4.39195654E+3,
710.00,4.53648535E+3,
712.00,6.15357715E+3,
714.00,6.32682861E+3,
716.00,6.29680176E+3,
718.00,8.64402637E+3,
720.00,1.05802207E+4,
722.00,1.05543730E+4,
724.00,1.22692295E+4,
726.00,1.44568691E+4,
728.00,1.94070547E+4,
730.00,2.09111035E+4,
732.00,2.50275430E+4,
734.00,2.80931855E+4,
736.00,3.42498750E+4,
738.00,3.79218555E+4,
740.00,4.54646719E+4,
742.00,5.74089258E+4,
744.00,6.29518477E+4,
746.00,7.20005547E+4,
748.00,8.58048359E+4,
750.00,1.00574336E+5,
752.00,1.13845883E+5,
754.00,1.34612344E+5,
756.00,1.57798359E+5,
758.00,1.84506031E+5,
760.00,2.17553203E+5,
762.00,2.50812750E+5,
764.00,2.86810438E+5,
766.00,3.40051969E+5,
768.00,3.92427969E+5,
770.00,4.55516750E+5,
772.00,5.11107063E+5,
774.00,6.04743313E+5,
776.00,6.81329125E+5,
778.00,7.72890438E+5,
780.00,8.74679500E+5,
782.00,1.00144000E+6,
784.00,1.10723738E+6,
786.00,1.19820838E+6,
788.00,1.34201325E+6,
790.00,1.46333863E+6,
792.00,1.55765713E+6,
794.00,1.65736863E+6,
796.00,1.73092175E+6,
798.00,1.79518338E+6,
800.00,1.85934450E+6,
802.00,1.86818175E+6,
804.00,1.85649425E+6,
806.00,1.86330325E+6,
808.00,1.82460525E+6,
810.00,1.76737838E+6,
812.00,1.70756375E+6,
814.00,1.65672925E+6,
816.00,1.58466525E+6,
818.00,1.51362263E+6,
820.00,1.40507025E+6,
822.00,1.34199138E+6,
824.00,1.25082350E+6,
826.00,1.13748850E+6,
828.00,1.05343713E+6,
830.00,9.61029000E+5,
832.00,8.65147938E+5,
834.00,7.77556750E+5,
836.00,6.92270438E+5,
838.00,6.05561375E+5,
840.00,5.41175688E+5,
842.00,4.78160688E+5,
844.00,4.06899563E+5,
846.00,3.60637813E+5,
848.00,3.09879000E+5,
850.00,2.72718031E+5,
852.00,2.46013047E+5,
854.00,2.06381156E+5,
856.00,1.79436563E+5,
858.00,1.49537906E+5,
860.00,1.31769766E+5,
862.00,1.13930008E+5,
864.00,1.00119109E+5,
866.00,8.49278984E+4,
868.00,7.19463828E+4,
870.00,6.34709688E+4,
872.00,5.17970664E+4,
874.00,4.44507578E+4,
876.00,4.38652188E+4,
878.00,3.92649063E+4,
880.00,3.08486563E+4,
882.00,4.06663750E+4,
884.00,3.01143340E+4,
886.00,2.32680234E+4,
888.00,2.29232246E+4,
890.00,1.64724609E+4,
892.00,1.48550654E+4,
894.00,1.73191777E+4,
896.00,1.63038613E+4,
898.00,1.01045205E+4,
900.00,7.97307275E+3,
