Labels,LN2-008 (DryIce_-20C) - 800nm,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,600.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

650.00,4.08241357E+3,
652.00,3.67298950E+3,
654.00,3.12619531E+3,
656.00,3.75117383E+3,
658.00,4.05139258E+3,
660.00,4.09511377E+3,
662.00,3.21927490E+3,
664.00,3.77880469E+3,
666.00,2.89947656E+3,
668.00,3.60461743E+3,
670.00,3.53421191E+3,
672.00,2.98075830E+3,
674.00,2.57117749E+3,
676.00,2.89675928E+3,
678.00,3.73685254E+3,
680.00,1.18406189E+3,
682.00,1.21785791E+3,
684.00,1.23275073E+3,
686.00,1.09332837E+3,
688.00,2.08145508E+3,
690.00,1.72063550E+3,
692.00,1.62999878E+3,
694.00,1.84240112E+3,
696.00,1.93777490E+3,
698.00,1.96368091E+3,
700.00,2.73078198E+3,
702.00,3.69011694E+3,
704.00,3.84400952E+3,
706.00,4.51490479E+3,
708.00,6.24213281E+3,
710.00,5.02046680E+3,
712.00,6.75770215E+3,
714.00,8.38008496E+3,
716.00,1.02263262E+4,
718.00,1.10009697E+4,
720.00,1.38471299E+4,
722.00,1.57382568E+4,
724.00,1.86104492E+4,
726.00,2.17721250E+4,
728.00,2.50024609E+4,
730.00,3.03386270E+4,
732.00,3.53383008E+4,
734.00,3.95015859E+4,
736.00,4.52073516E+4,
738.00,5.24697656E+4,
740.00,6.18132422E+4,
742.00,7.36622578E+4,
744.00,8.98222422E+4,
746.00,1.00738664E+5,
748.00,1.19589008E+5,
750.00,1.44231031E+5,
752.00,1.67996328E+5,
754.00,1.90848250E+5,
756.00,2.27212266E+5,
758.00,2.64225375E+5,
760.00,3.04193938E+5,
762.00,3.62367469E+5,
764.00,4.17623406E+5,
766.00,4.90632094E+5,
768.00,5.63385938E+5,
770.00,6.42976313E+5,
772.00,7.40586688E+5,
774.00,8.55335813E+5,
776.00,9.84057188E+5,
778.00,1.12142275E+6,
780.00,1.27049713E+6,
782.00,1.43551375E+6,
784.00,1.59051900E+6,
786.00,1.73311263E+6,
788.00,1.91042888E+6,
790.00,2.04884750E+6,
792.00,2.19035175E+6,
794.00,2.29621925E+6,
796.00,2.37711225E+6,
798.00,2.40068325E+6,
800.00,2.42776450E+6,
802.00,2.40252825E+6,
804.00,2.36136875E+6,
806.00,2.31491575E+6,
808.00,2.26546650E+6,
810.00,2.21359975E+6,
812.00,2.15319275E+6,
814.00,2.06725388E+6,
816.00,2.03110513E+6,
818.00,1.94136400E+6,
820.00,1.88430213E+6,
822.00,1.82578263E+6,
824.00,1.74628013E+6,
826.00,1.67543850E+6,
828.00,1.59203938E+6,
830.00,1.51906875E+6,
832.00,1.39150400E+6,
834.00,1.28816325E+6,
836.00,1.17877713E+6,
838.00,1.06975888E+6,
840.00,9.53503625E+5,
842.00,8.58820188E+5,
844.00,7.74661688E+5,
846.00,6.80312125E+5,
848.00,6.12394875E+5,
850.00,5.43554313E+5,
852.00,4.84969188E+5,
854.00,4.25958813E+5,
856.00,3.79740875E+5,
858.00,3.39269313E+5,
860.00,2.93542125E+5,
862.00,2.54121688E+5,
864.00,2.26966078E+5,
866.00,2.01565906E+5,
868.00,1.73074172E+5,
870.00,1.52807219E+5,
872.00,1.38042594E+5,
874.00,1.25312367E+5,
876.00,1.03141125E+5,
878.00,9.07400781E+4,
880.00,8.52657422E+4,
882.00,8.34172813E+4,
884.00,7.01140156E+4,
886.00,5.90056836E+4,
888.00,5.53472930E+4,
890.00,4.52195000E+4,
892.00,4.30835430E+4,
894.00,4.33150000E+4,
896.00,4.37451172E+4,
898.00,3.79641406E+4,
900.00,3.90912930E+4,
