Labels,LN2-003 (RT) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.82208180E-1,
310.00,8.88211489E-1,
320.00,1.46360528E+0,
330.00,1.74351227E+0,
340.00,1.87532759E+0,
350.00,1.93359387E+0,
360.00,1.94837821E+0,
370.00,1.96758366E+0,
380.00,1.99684536E+0,
390.00,2.03600073E+0,
400.00,2.05864120E+0,
410.00,2.03971171E+0,
420.00,2.05631757E+0,
430.00,2.04790545E+0,
440.00,2.06390786E+0,
450.00,2.11275244E+0,
460.00,2.10196161E+0,
470.00,2.14031911E+0,
480.00,2.08780050E+0,
490.00,2.06243849E+0,
500.00,2.04978871E+0,
510.00,2.04626036E+0,
520.00,2.04416132E+0,
530.00,2.03742099E+0,
540.00,2.02885699E+0,
550.00,2.01464558E+0,
560.00,1.99326432E+0,
570.00,1.96622348E+0,
580.00,1.92425430E+0,
590.00,1.87308371E+0,
600.00,1.80124187E+0,
610.00,1.73375630E+0,
620.00,1.66694689E+0,
630.00,1.58620644E+0,
640.00,1.49912655E+0,
650.00,1.45700598E+0,
660.00,1.40914142E+0,
670.00,1.36439431E+0,
680.00,1.30922210E+0,
690.00,1.26910245E+0,
700.00,1.20813107E+0,
710.00,1.16962790E+0,
720.00,1.12316453E+0,
730.00,1.09517765E+0,
740.00,1.06417227E+0,
750.00,1.03366983E+0,
760.00,1.01478767E+0,
770.00,9.80505645E-1,
780.00,9.04560506E-1,
790.00,7.67687678E-1,
800.00,5.49239933E-1,
810.00,4.00206953E-1,
820.00,3.27763736E-1,
830.00,3.09943110E-1,
840.00,2.87291735E-1,
850.00,2.66346097E-1,
860.00,2.58356661E-1,
870.00,2.52788752E-1,
880.00,2.47492865E-1,
890.00,2.43590668E-1,
900.00,2.34651312E-1,
910.00,2.22737044E-1,
920.00,2.21983969E-1,
930.00,2.06323892E-1,
940.00,2.04571187E-1,
950.00,2.02509284E-1,
960.00,1.80580094E-1,
970.00,1.80378705E-1,
980.00,1.86025679E-1,
990.00,1.65965840E-1,
1000.00,1.52902097E-1,
