Labels,LN2-005 (DryIce) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,5.66000000E+2,
310.00,5.70000000E+2,
320.00,5.74000000E+2,
330.00,5.78000000E+2,
340.00,5.82000000E+2,
350.00,5.85000000E+2,
360.00,5.92000000E+2,
370.00,5.91000000E+2,
380.00,5.94000000E+2,
390.00,6.00000000E+2,
400.00,6.05000000E+2,
410.00,5.96000000E+2,
420.00,6.01000000E+2,
430.00,6.03000000E+2,
440.00,6.03000000E+2,
450.00,6.15000000E+2,
460.00,6.11000000E+2,
470.00,6.25000000E+2,
480.00,6.10000000E+2,
490.00,6.06000000E+2,
500.00,6.02000000E+2,
510.00,6.05000000E+2,
520.00,6.15000000E+2,
530.00,6.26000000E+2,
540.00,6.52000000E+2,
550.00,7.06000000E+2,
560.00,8.00000000E+2,
570.00,9.37000000E+2,
580.00,1.13200000E+3,
590.00,1.37900000E+3,
600.00,1.63700000E+3,
610.00,1.95200000E+3,
620.00,2.35600000E+3,
630.00,2.62800000E+3,
640.00,2.67300000E+3,
650.00,3.43500000E+3,
660.00,4.19800000E+3,
670.00,5.16300000E+3,
680.00,5.78000000E+3,
690.00,6.84100000E+3,
700.00,6.14100000E+3,
710.00,6.87300000E+3,
720.00,6.42400000E+3,
730.00,7.22700000E+3,
740.00,7.15500000E+3,
750.00,6.66900000E+3,
760.00,6.71300000E+3,
770.00,6.07500000E+3,
780.00,5.50800000E+3,
790.00,9.43900000E+3,
800.00,1.25060000E+4,
810.00,1.57640000E+4,
820.00,4.59900000E+4,
830.00,4.97430000E+4,
840.00,4.01570000E+4,
850.00,1.47510000E+4,
860.00,1.73710000E+4,
870.00,2.81630000E+4,
880.00,1.73694000E+5,
890.00,6.40540000E+4,
900.00,6.17880000E+4,
910.00,4.75530000E+4,
920.00,8.90060000E+4,
930.00,4.17470000E+4,
940.00,8.71090000E+4,
950.00,9.46730000E+4,
960.00,3.42390000E+4,
970.00,5.69920000E+4,
980.00,2.19364000E+5,
990.00,1.71123000E+5,
1000.00,3.58260000E+4,
