Labels,LN2-018 (DryIce) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.67818740E-1,
310.00,8.37976694E-1,
320.00,1.36256516E+0,
330.00,1.60222125E+0,
340.00,1.71185160E+0,
350.00,1.76034188E+0,
360.00,1.77529550E+0,
370.00,1.79213071E+0,
380.00,1.81270564E+0,
390.00,1.84020615E+0,
400.00,1.85534334E+0,
410.00,1.84046328E+0,
420.00,1.84705794E+0,
430.00,1.83798623E+0,
440.00,1.84290218E+0,
450.00,1.86363566E+0,
460.00,1.85965979E+0,
470.00,1.87381685E+0,
480.00,1.84835827E+0,
490.00,1.82983708E+0,
500.00,1.81121123E+0,
510.00,1.78473890E+0,
520.00,1.74924827E+0,
530.00,1.70102012E+0,
540.00,1.64183474E+0,
550.00,1.57087624E+0,
560.00,1.49580705E+0,
570.00,1.42127573E+0,
580.00,1.34463620E+0,
590.00,1.26970017E+0,
600.00,1.19533718E+0,
610.00,1.13090885E+0,
620.00,1.07233167E+0,
630.00,1.01379013E+0,
640.00,9.60163713E-1,
650.00,9.22189474E-1,
660.00,8.84450138E-1,
670.00,8.53154302E-1,
680.00,8.16491663E-1,
690.00,7.94807792E-1,
700.00,7.58489251E-1,
710.00,7.38691688E-1,
720.00,7.07720697E-1,
730.00,6.93771958E-1,
740.00,6.76331818E-1,
750.00,6.55295372E-1,
760.00,6.45159841E-1,
770.00,6.22013390E-1,
780.00,5.78949749E-1,
790.00,5.00647962E-1,
800.00,3.78507435E-1,
810.00,2.93097377E-1,
820.00,2.54637033E-1,
830.00,2.35400990E-1,
840.00,2.29096085E-1,
850.00,2.06714526E-1,
860.00,2.02275842E-1,
870.00,2.00082406E-1,
880.00,2.02250674E-1,
890.00,1.90493673E-1,
900.00,1.83361307E-1,
910.00,1.76091254E-1,
920.00,1.78578228E-1,
930.00,1.66796848E-1,
940.00,1.67968944E-1,
950.00,1.70335203E-1,
960.00,1.40923262E-1,
970.00,1.50639206E-1,
980.00,1.56254664E-1,
990.00,1.45001411E-1,
1000.00,1.20528415E-1,
