Labels,LN2-017 (DryIce) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,9.16000000E+2,
310.00,2.38800000E+3,
320.00,5.03900000E+3,
330.00,7.42600000E+3,
340.00,8.98000000E+3,
350.00,9.85900000E+3,
360.00,1.01170000E+4,
370.00,1.03970000E+4,
380.00,1.12350000E+4,
390.00,1.23480000E+4,
400.00,1.32330000E+4,
410.00,1.25360000E+4,
420.00,1.34950000E+4,
430.00,1.37190000E+4,
440.00,1.47460000E+4,
450.00,1.75490000E+4,
460.00,1.74510000E+4,
470.00,1.96140000E+4,
480.00,1.67660000E+4,
490.00,1.55670000E+4,
500.00,1.47350000E+4,
510.00,1.50800000E+4,
520.00,1.56150000E+4,
530.00,1.59660000E+4,
540.00,1.64890000E+4,
550.00,1.69830000E+4,
560.00,1.73820000E+4,
570.00,1.78120000E+4,
580.00,1.80880000E+4,
590.00,1.84250000E+4,
600.00,1.77490000E+4,
610.00,1.77050000E+4,
620.00,1.82860000E+4,
630.00,1.72040000E+4,
640.00,1.49040000E+4,
650.00,1.74640000E+4,
660.00,1.91900000E+4,
670.00,2.16580000E+4,
680.00,2.20140000E+4,
690.00,2.47110000E+4,
700.00,1.99150000E+4,
710.00,2.11190000E+4,
720.00,1.83540000E+4,
730.00,1.99680000E+4,
740.00,1.91650000E+4,
750.00,1.70400000E+4,
760.00,1.67740000E+4,
770.00,1.43090000E+4,
780.00,1.12980000E+4,
790.00,1.51760000E+4,
800.00,1.41210000E+4,
810.00,1.45940000E+4,
820.00,3.78100000E+4,
830.00,3.90780000E+4,
840.00,3.08430000E+4,
850.00,1.07010000E+4,
860.00,1.24320000E+4,
870.00,1.98910000E+4,
880.00,1.24650000E+5,
890.00,4.49860000E+4,
900.00,4.39420000E+4,
910.00,3.36020000E+4,
920.00,6.64010000E+4,
930.00,3.14830000E+4,
940.00,6.83500000E+4,
950.00,7.66580000E+4,
960.00,2.68760000E+4,
970.00,4.72190000E+4,
980.00,1.89915000E+5,
990.00,1.48182000E+5,
1000.00,3.01050000E+4,
