Labels,LN2-013 (LN2) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.14700000E+3,
310.00,3.58300000E+3,
320.00,7.98400000E+3,
330.00,1.20910000E+4,
340.00,1.49460000E+4,
350.00,1.65780000E+4,
360.00,1.70790000E+4,
370.00,1.77440000E+4,
380.00,1.92840000E+4,
390.00,2.12800000E+4,
400.00,2.29240000E+4,
410.00,2.12340000E+4,
420.00,2.24400000E+4,
430.00,2.23430000E+4,
440.00,2.34950000E+4,
450.00,2.74270000E+4,
460.00,2.68960000E+4,
470.00,2.98610000E+4,
480.00,2.52720000E+4,
490.00,2.34190000E+4,
500.00,2.19420000E+4,
510.00,2.17820000E+4,
520.00,2.18670000E+4,
530.00,2.16390000E+4,
540.00,2.14990000E+4,
550.00,2.12090000E+4,
560.00,2.08340000E+4,
570.00,2.04860000E+4,
580.00,2.00520000E+4,
590.00,1.95840000E+4,
600.00,1.82410000E+4,
610.00,1.76080000E+4,
620.00,1.76140000E+4,
630.00,1.61270000E+4,
640.00,1.36010000E+4,
650.00,1.55930000E+4,
660.00,1.67560000E+4,
670.00,1.85150000E+4,
680.00,1.85260000E+4,
690.00,2.03260000E+4,
700.00,1.63460000E+4,
710.00,1.71730000E+4,
720.00,1.48080000E+4,
730.00,1.59600000E+4,
740.00,1.51560000E+4,
750.00,1.34400000E+4,
760.00,1.31830000E+4,
770.00,1.13200000E+4,
780.00,9.05100000E+3,
790.00,1.21870000E+4,
800.00,1.17400000E+4,
810.00,1.24340000E+4,
820.00,3.39530000E+4,
830.00,3.37620000E+4,
840.00,2.67220000E+4,
850.00,9.49500000E+3,
860.00,1.09400000E+4,
870.00,1.74060000E+4,
880.00,1.12637000E+5,
890.00,3.91960000E+4,
900.00,3.80700000E+4,
910.00,2.96670000E+4,
920.00,5.64600000E+4,
930.00,2.74290000E+4,
940.00,5.78320000E+4,
950.00,6.47560000E+4,
960.00,2.35240000E+4,
970.00,4.01150000E+4,
980.00,1.50326000E+5,
990.00,1.29335000E+5,
1000.00,2.59100000E+4,
