Labels,LN2-008 (DryIce) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,5.68000000E+2,
310.00,5.72000000E+2,
320.00,5.76000000E+2,
330.00,5.80000000E+2,
340.00,5.85000000E+2,
350.00,5.87000000E+2,
360.00,5.94000000E+2,
370.00,5.93000000E+2,
380.00,5.96000000E+2,
390.00,6.01000000E+2,
400.00,6.07000000E+2,
410.00,5.95000000E+2,
420.00,5.99000000E+2,
430.00,6.02000000E+2,
440.00,6.03000000E+2,
450.00,6.15000000E+2,
460.00,6.12000000E+2,
470.00,6.26000000E+2,
480.00,6.12000000E+2,
490.00,6.09000000E+2,
500.00,6.11000000E+2,
510.00,6.27000000E+2,
520.00,6.66000000E+2,
530.00,7.31000000E+2,
540.00,8.50000000E+2,
550.00,1.04100000E+3,
560.00,1.31400000E+3,
570.00,1.66900000E+3,
580.00,2.11600000E+3,
590.00,2.62800000E+3,
600.00,3.08700000E+3,
610.00,3.63700000E+3,
620.00,4.30500000E+3,
630.00,4.63500000E+3,
640.00,4.54700000E+3,
650.00,5.80800000E+3,
660.00,6.96900000E+3,
670.00,8.45600000E+3,
680.00,9.32000000E+3,
690.00,1.09320000E+4,
700.00,9.56500000E+3,
710.00,1.05910000E+4,
720.00,9.72100000E+3,
730.00,1.08690000E+4,
740.00,1.07160000E+4,
750.00,9.84000000E+3,
760.00,9.85600000E+3,
770.00,8.78900000E+3,
780.00,7.72500000E+3,
790.00,1.25320000E+4,
800.00,1.49940000E+4,
810.00,1.72930000E+4,
820.00,4.64680000E+4,
830.00,4.81920000E+4,
840.00,3.77050000E+4,
850.00,1.36100000E+4,
860.00,1.59140000E+4,
870.00,2.58390000E+4,
880.00,1.62295000E+5,
890.00,6.13300000E+4,
900.00,6.09890000E+4,
910.00,4.84970000E+4,
920.00,9.45030000E+4,
930.00,4.60660000E+4,
940.00,9.96750000E+4,
950.00,1.11671000E+5,
960.00,4.15300000E+4,
970.00,7.07290000E+4,
980.00,2.76250000E+5,
990.00,2.17398000E+5,
1000.00,4.58710000E+4,
