Labels,LN2-010 (LN2) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,4.69965637E-2,
310.00,4.52783078E-1,
320.00,7.63349295E-1,
330.00,8.97923648E-1,
340.00,9.55896556E-1,
350.00,9.79061186E-1,
360.00,9.86423850E-1,
370.00,9.92317259E-1,
380.00,9.95597422E-1,
390.00,1.00591540E+0,
400.00,1.00939107E+0,
410.00,9.93259728E-1,
420.00,9.96572793E-1,
430.00,9.97562408E-1,
440.00,9.99460340E-1,
450.00,1.00382674E+0,
460.00,1.00750744E+0,
470.00,1.00740945E+0,
480.00,1.00561774E+0,
490.00,1.00328696E+0,
500.00,1.00519621E+0,
510.00,1.00542176E+0,
520.00,1.00100529E+0,
530.00,9.95640755E-1,
540.00,9.88843143E-1,
550.00,9.79607344E-1,
560.00,9.66496110E-1,
570.00,9.53304708E-1,
580.00,9.36366081E-1,
590.00,9.15533304E-1,
600.00,8.94635379E-1,
610.00,8.74534130E-1,
620.00,8.51689517E-1,
630.00,8.30998659E-1,
640.00,8.10822189E-1,
650.00,7.92352259E-1,
660.00,7.79170752E-1,
670.00,7.67843723E-1,
680.00,7.52664626E-1,
690.00,7.41575062E-1,
700.00,7.25013912E-1,
710.00,7.15842366E-1,
720.00,7.01621234E-1,
730.00,6.94249868E-1,
740.00,6.84927583E-1,
750.00,6.74855530E-1,
760.00,6.69441640E-1,
770.00,6.55013680E-1,
780.00,6.26574159E-1,
790.00,5.79062521E-1,
800.00,5.03288865E-1,
810.00,4.49571162E-1,
820.00,4.26649719E-1,
830.00,4.30371851E-1,
840.00,4.17420596E-1,
850.00,4.22491074E-1,
860.00,4.18065816E-1,
870.00,4.22685087E-1,
880.00,4.05134737E-1,
890.00,4.34049398E-1,
900.00,4.35581803E-1,
910.00,4.49102730E-1,
920.00,4.33664173E-1,
930.00,4.39691544E-1,
940.00,4.24942106E-1,
950.00,4.15380359E-1,
960.00,4.56034273E-1,
970.00,4.21142459E-1,
980.00,4.19845462E-1,
990.00,3.90698642E-1,
1000.00,4.36250508E-1,
