Labels,LN2-005 (DryIce) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.80670857E-1,
310.00,8.95015240E-1,
320.00,1.48788202E+0,
330.00,1.78230143E+0,
340.00,1.92465222E+0,
350.00,1.98925960E+0,
360.00,2.00600314E+0,
370.00,2.02914333E+0,
380.00,2.06504369E+0,
390.00,2.10971904E+0,
400.00,2.13842010E+0,
410.00,2.11327028E+0,
420.00,2.13114119E+0,
430.00,2.12250113E+0,
440.00,2.14212775E+0,
450.00,2.19893861E+0,
460.00,2.19616222E+0,
470.00,2.23205638E+0,
480.00,2.17462683E+0,
490.00,2.14566207E+0,
500.00,2.12328172E+0,
510.00,2.11759448E+0,
520.00,2.10959220E+0,
530.00,2.09393620E+0,
540.00,2.07012844E+0,
550.00,2.02677751E+0,
560.00,1.96174729E+0,
570.00,1.88378561E+0,
580.00,1.78896248E+0,
590.00,1.68824422E+0,
600.00,1.58018839E+0,
610.00,1.48545814E+0,
620.00,1.39686215E+0,
630.00,1.30740321E+0,
640.00,1.22380376E+0,
650.00,1.16880703E+0,
660.00,1.11407065E+0,
670.00,1.06613135E+0,
680.00,1.01460624E+0,
690.00,9.77305770E-1,
700.00,9.26802695E-1,
710.00,8.94893408E-1,
720.00,8.56563747E-1,
730.00,8.34900737E-1,
740.00,8.12815309E-1,
750.00,7.88362861E-1,
760.00,7.74795771E-1,
770.00,7.45717227E-1,
780.00,6.79440439E-1,
790.00,5.48026562E-1,
800.00,3.59156489E-1,
810.00,2.36567050E-1,
820.00,1.71700060E-1,
830.00,1.44383371E-1,
840.00,1.21946238E-1,
850.00,9.52167660E-2,
860.00,8.35510492E-2,
870.00,7.55084753E-2,
880.00,7.70134628E-2,
890.00,7.13604316E-2,
900.00,7.17578530E-2,
910.00,7.06687421E-2,
920.00,8.45751166E-2,
930.00,8.56742263E-2,
940.00,9.74192470E-2,
950.00,1.07530817E-1,
960.00,9.33566242E-2,
970.00,1.08341061E-1,
980.00,1.21503614E-1,
990.00,1.13611542E-1,
1000.00,9.93518457E-2,
