Labels,LN2-001 (RT) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.82208180E-1,
310.00,8.88962269E-1,
320.00,1.46647656E+0,
330.00,1.74557865E+0,
340.00,1.87867093E+0,
350.00,1.93885016E+0,
360.00,1.95681143E+0,
370.00,1.97660494E+0,
380.00,2.00824165E+0,
390.00,2.05091357E+0,
400.00,2.07507753E+0,
410.00,2.04903841E+0,
420.00,2.06429768E+0,
430.00,2.05772042E+0,
440.00,2.07302570E+0,
450.00,2.12034631E+0,
460.00,2.11947584E+0,
470.00,2.14884067E+0,
480.00,2.09902000E+0,
490.00,2.07322145E+0,
500.00,2.05161977E+0,
510.00,2.04565167E+0,
520.00,2.04173851E+0,
530.00,2.03317785E+0,
540.00,2.02583885E+0,
550.00,2.01524401E+0,
560.00,2.00330281E+0,
570.00,1.99339378E+0,
580.00,1.97770488E+0,
590.00,1.95857680E+0,
600.00,1.92383313E+0,
610.00,1.89856660E+0,
620.00,1.87694287E+0,
630.00,1.82666147E+0,
640.00,1.74934447E+0,
650.00,1.76025105E+0,
660.00,1.74633038E+0,
670.00,1.73645794E+0,
680.00,1.69626844E+0,
690.00,1.67888641E+0,
700.00,1.59249830E+0,
710.00,1.56887841E+0,
720.00,1.50480211E+0,
730.00,1.49137044E+0,
740.00,1.45603740E+0,
750.00,1.41266835E+0,
760.00,1.39273393E+0,
770.00,1.34061623E+0,
780.00,1.23347807E+0,
790.00,1.08172894E+0,
800.00,7.61581957E-1,
810.00,5.41137815E-1,
820.00,4.41895157E-1,
830.00,4.12786126E-1,
840.00,3.81610096E-1,
850.00,3.52507770E-1,
860.00,3.41693133E-1,
870.00,3.36596340E-1,
880.00,3.27793658E-1,
890.00,3.24594200E-1,
900.00,3.15281153E-1,
910.00,3.03005874E-1,
920.00,3.00444067E-1,
930.00,2.84350246E-1,
940.00,2.80618042E-1,
950.00,2.76411384E-1,
960.00,2.61716336E-1,
970.00,2.60123402E-1,
980.00,2.66056240E-1,
990.00,2.47066706E-1,
1000.00,2.42823541E-1,
