Labels,LN2-002 (RT) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.85299262E-1,
310.00,9.01927233E-1,
320.00,1.49705756E+0,
330.00,1.79372096E+0,
340.00,1.93752682E+0,
350.00,2.00283241E+0,
360.00,2.02092886E+0,
370.00,2.04257631E+0,
380.00,2.07916236E+0,
390.00,2.12444234E+0,
400.00,2.15376258E+0,
410.00,2.12734056E+0,
420.00,2.14434719E+0,
430.00,2.13566256E+0,
440.00,2.15677667E+0,
450.00,2.21475911E+0,
460.00,2.20988154E+0,
470.00,2.24833989E+0,
480.00,2.18836927E+0,
490.00,2.15801930E+0,
500.00,2.13572240E+0,
510.00,2.13293695E+0,
520.00,2.12909007E+0,
530.00,2.11965847E+0,
540.00,2.10767508E+0,
550.00,2.08670688E+0,
560.00,2.04992414E+0,
570.00,2.00426698E+0,
580.00,1.93647385E+0,
590.00,1.85885882E+0,
600.00,1.76242471E+0,
610.00,1.67453456E+0,
620.00,1.58862484E+0,
630.00,1.49632430E+0,
640.00,1.40381205E+0,
650.00,1.35043323E+0,
660.00,1.29573226E+0,
670.00,1.24602437E+0,
680.00,1.19017184E+0,
690.00,1.14750147E+0,
700.00,1.09127581E+0,
710.00,1.05434155E+0,
720.00,1.01057804E+0,
730.00,9.83572125E-1,
740.00,9.53682482E-1,
750.00,9.25519288E-1,
760.00,9.06055629E-1,
770.00,8.72877777E-1,
780.00,7.95739830E-1,
790.00,6.42253280E-1,
800.00,4.16821122E-1,
810.00,2.71072090E-1,
820.00,2.11952552E-1,
830.00,1.98611259E-1,
840.00,1.93756223E-1,
850.00,1.82618901E-1,
860.00,1.81142882E-1,
870.00,1.79872483E-1,
880.00,1.78145126E-1,
890.00,1.68356895E-1,
900.00,1.57799676E-1,
910.00,1.46036461E-1,
920.00,1.41076535E-1,
930.00,1.26847461E-1,
940.00,1.20870434E-1,
950.00,1.16724074E-1,
960.00,9.78958383E-2,
970.00,9.83746797E-2,
980.00,1.02615453E-1,
990.00,9.09145623E-2,
1000.00,8.20626169E-2,
