Labels,LN2-016 (LN2) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.18700000E+3,
310.00,3.81700000E+3,
320.00,8.56600000E+3,
330.00,1.29740000E+4,
340.00,1.59740000E+4,
350.00,1.75370000E+4,
360.00,1.78550000E+4,
370.00,1.84710000E+4,
380.00,1.98860000E+4,
390.00,2.16430000E+4,
400.00,2.29240000E+4,
410.00,2.09670000E+4,
420.00,2.19110000E+4,
430.00,2.16170000E+4,
440.00,2.26820000E+4,
450.00,2.66060000E+4,
460.00,2.61660000E+4,
470.00,2.90940000E+4,
480.00,2.46350000E+4,
490.00,2.26800000E+4,
500.00,2.10820000E+4,
510.00,2.08420000E+4,
520.00,2.08400000E+4,
530.00,2.05290000E+4,
540.00,2.03650000E+4,
550.00,2.01760000E+4,
560.00,1.98820000E+4,
570.00,1.97240000E+4,
580.00,1.95270000E+4,
590.00,1.93060000E+4,
600.00,1.82500000E+4,
610.00,1.78740000E+4,
620.00,1.80710000E+4,
630.00,1.67910000E+4,
640.00,1.43610000E+4,
650.00,1.67230000E+4,
660.00,1.82340000E+4,
670.00,2.04520000E+4,
680.00,2.07680000E+4,
690.00,2.29910000E+4,
700.00,1.87440000E+4,
710.00,1.98930000E+4,
720.00,1.73600000E+4,
730.00,1.87950000E+4,
740.00,1.80570000E+4,
750.00,1.61450000E+4,
760.00,1.58560000E+4,
770.00,1.36400000E+4,
780.00,1.07440000E+4,
790.00,1.39160000E+4,
800.00,1.24780000E+4,
810.00,1.25520000E+4,
820.00,3.26040000E+4,
830.00,3.39370000E+4,
840.00,2.66460000E+4,
850.00,9.68600000E+3,
860.00,1.12900000E+4,
870.00,1.80720000E+4,
880.00,1.12084000E+5,
890.00,4.15940000E+4,
900.00,4.09690000E+4,
910.00,3.20840000E+4,
920.00,6.22980000E+4,
930.00,3.02050000E+4,
940.00,6.47140000E+4,
950.00,7.23850000E+4,
960.00,2.69590000E+4,
970.00,4.57740000E+4,
980.00,1.79357000E+5,
990.00,1.42192000E+5,
1000.00,3.05440000E+4,
