Labels,LN2-012 (LN2) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.76851183E-1,
310.00,8.82251978E-1,
320.00,1.45862556E+0,
330.00,1.74008989E+0,
340.00,1.87666190E+0,
350.00,1.93753004E+0,
360.00,1.95550334E+0,
370.00,1.97725654E+0,
380.00,2.01017022E+0,
390.00,2.05281425E+0,
400.00,2.07819080E+0,
410.00,2.05346036E+0,
420.00,2.05936956E+0,
430.00,2.03535104E+0,
440.00,2.03314352E+0,
450.00,2.05941772E+0,
460.00,2.04821014E+0,
470.00,2.06889510E+0,
480.00,2.02193761E+0,
490.00,1.98961484E+0,
500.00,1.94670975E+0,
510.00,1.87650919E+0,
520.00,1.78888881E+0,
530.00,1.67938995E+0,
540.00,1.54393208E+0,
550.00,1.41183841E+0,
560.00,1.30540943E+0,
570.00,1.21098816E+0,
580.00,1.12009275E+0,
590.00,1.03696060E+0,
600.00,9.62687194E-1,
610.00,8.99200678E-1,
620.00,8.39720726E-1,
630.00,7.86761165E-1,
640.00,7.40338445E-1,
650.00,7.02524483E-1,
660.00,6.69893384E-1,
670.00,6.38934076E-1,
680.00,6.08213425E-1,
690.00,5.82436502E-1,
700.00,5.56287408E-1,
710.00,5.37358940E-1,
720.00,5.14903843E-1,
730.00,5.00622869E-1,
740.00,4.85267162E-1,
750.00,4.71758425E-1,
760.00,4.63030875E-1,
770.00,4.47592199E-1,
780.00,4.18009102E-1,
790.00,3.54337245E-1,
800.00,2.58140385E-1,
810.00,1.90773740E-1,
820.00,1.66658416E-1,
830.00,1.52464196E-1,
840.00,1.53591350E-1,
850.00,1.38231769E-1,
860.00,1.35967970E-1,
870.00,1.36287287E-1,
880.00,1.42782107E-1,
890.00,1.29555821E-1,
900.00,1.23042189E-1,
910.00,1.14095502E-1,
920.00,1.16688490E-1,
930.00,1.06973290E-1,
940.00,1.08804837E-1,
950.00,1.09955087E-1,
960.00,7.62935281E-2,
970.00,8.70907977E-2,
980.00,9.09307823E-2,
990.00,8.10318515E-2,
1000.00,5.05357757E-2,
