Labels,LN2-017 (DryIce) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,-2.84081865E-2,
310.00,2.72855759E-1,
320.00,5.44449568E-1,
330.00,6.73474371E-1,
340.00,7.36298859E-1,
350.00,7.62582600E-1,
360.00,7.73273170E-1,
370.00,7.83822775E-1,
380.00,7.88257122E-1,
390.00,7.96273768E-1,
400.00,7.98517227E-1,
410.00,7.90357471E-1,
420.00,7.79842854E-1,
430.00,7.65496016E-1,
440.00,7.53770947E-1,
450.00,7.43561327E-1,
460.00,7.40383029E-1,
470.00,7.35370278E-1,
480.00,7.35527277E-1,
490.00,7.35929668E-1,
500.00,7.34528065E-1,
510.00,7.20948517E-1,
520.00,7.04925418E-1,
530.00,6.87314332E-1,
540.00,6.67181849E-1,
550.00,6.45567715E-1,
560.00,6.24737501E-1,
570.00,6.04812503E-1,
580.00,5.85418344E-1,
590.00,5.62400997E-1,
600.00,5.45063138E-1,
610.00,5.27842045E-1,
620.00,5.06918728E-1,
630.00,4.91399139E-1,
640.00,4.77499902E-1,
650.00,4.62590039E-1,
660.00,4.54038113E-1,
670.00,4.43415076E-1,
680.00,4.33835149E-1,
690.00,4.19535011E-1,
700.00,4.15861517E-1,
710.00,4.07366395E-1,
720.00,4.00638551E-1,
730.00,3.93524230E-1,
740.00,3.84916097E-1,
750.00,3.80953968E-1,
760.00,3.77075791E-1,
770.00,3.73654187E-1,
780.00,3.67432803E-1,
790.00,3.41795266E-1,
800.00,3.06409448E-1,
810.00,2.70059139E-1,
820.00,2.56756783E-1,
830.00,2.49183014E-1,
840.00,2.36550882E-1,
850.00,2.34613866E-1,
860.00,2.28834867E-1,
870.00,2.26530775E-1,
880.00,2.21105993E-1,
890.00,2.24829301E-1,
900.00,2.19782174E-1,
910.00,2.21481532E-1,
920.00,2.11819783E-1,
930.00,2.08223388E-1,
940.00,2.02743754E-1,
950.00,1.99199468E-1,
960.00,1.98513061E-1,
970.00,1.90038174E-1,
980.00,1.84109703E-1,
990.00,1.76124468E-1,
1000.00,1.74911529E-1,
