Labels,LN2-010 (LN2) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,7.70000000E+2,
310.00,1.57800000E+3,
320.00,3.04400000E+3,
330.00,4.42900000E+3,
340.00,5.41600000E+3,
350.00,5.98900000E+3,
360.00,6.19300000E+3,
370.00,6.43300000E+3,
380.00,6.97000000E+3,
390.00,7.62000000E+3,
400.00,8.14300000E+3,
410.00,7.85700000E+3,
420.00,8.19300000E+3,
430.00,8.04000000E+3,
440.00,8.37500000E+3,
450.00,9.63800000E+3,
460.00,9.43400000E+3,
470.00,1.04840000E+4,
480.00,9.00200000E+3,
490.00,8.41100000E+3,
500.00,7.90100000E+3,
510.00,7.83300000E+3,
520.00,7.89700000E+3,
530.00,7.85000000E+3,
540.00,7.86200000E+3,
550.00,7.87000000E+3,
560.00,7.91300000E+3,
570.00,7.98400000E+3,
580.00,8.06200000E+3,
590.00,8.17100000E+3,
600.00,7.93600000E+3,
610.00,7.96900000E+3,
620.00,8.26700000E+3,
630.00,7.87100000E+3,
640.00,6.91800000E+3,
650.00,8.17300000E+3,
660.00,9.07700000E+3,
670.00,1.02610000E+4,
680.00,1.05650000E+4,
690.00,1.17720000E+4,
700.00,9.77300000E+3,
710.00,1.03800000E+4,
720.00,9.17800000E+3,
730.00,9.99100000E+3,
740.00,9.60500000E+3,
750.00,8.66100000E+3,
760.00,8.55600000E+3,
770.00,7.48600000E+3,
780.00,6.22100000E+3,
790.00,8.78800000E+3,
800.00,8.97400000E+3,
810.00,9.65300000E+3,
820.00,2.55690000E+4,
830.00,2.57480000E+4,
840.00,2.03370000E+4,
850.00,6.94300000E+3,
860.00,8.04100000E+3,
870.00,1.26620000E+4,
880.00,8.15950000E+4,
890.00,2.77880000E+4,
900.00,2.67350000E+4,
910.00,1.98950000E+4,
920.00,3.98410000E+4,
930.00,1.84760000E+4,
940.00,4.09770000E+4,
950.00,4.65990000E+4,
960.00,1.48540000E+4,
970.00,2.77340000E+4,
980.00,1.10363000E+5,
990.00,9.04110000E+4,
1000.00,1.64930000E+4,
