Labels,LN2-011 (LN2) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.22000000E+3,
310.00,3.91800000E+3,
320.00,8.76000000E+3,
330.00,1.32330000E+4,
340.00,1.63990000E+4,
350.00,1.81620000E+4,
360.00,1.86690000E+4,
370.00,1.93380000E+4,
380.00,2.09880000E+4,
390.00,2.29520000E+4,
400.00,2.45530000E+4,
410.00,2.26060000E+4,
420.00,2.38270000E+4,
430.00,2.35480000E+4,
440.00,2.47200000E+4,
450.00,2.90440000E+4,
460.00,2.86220000E+4,
470.00,3.18360000E+4,
480.00,2.70520000E+4,
490.00,2.48320000E+4,
500.00,2.30680000E+4,
510.00,2.29130000E+4,
520.00,2.29720000E+4,
530.00,2.27630000E+4,
540.00,2.26570000E+4,
550.00,2.24550000E+4,
560.00,2.21320000E+4,
570.00,2.19470000E+4,
580.00,2.16850000E+4,
590.00,2.14070000E+4,
600.00,1.99960000E+4,
610.00,1.95020000E+4,
620.00,1.98110000E+4,
630.00,1.82610000E+4,
640.00,1.54890000E+4,
650.00,1.80020000E+4,
660.00,1.94450000E+4,
670.00,2.17200000E+4,
680.00,2.18910000E+4,
690.00,2.44780000E+4,
700.00,1.93890000E+4,
710.00,2.07190000E+4,
720.00,1.77000000E+4,
730.00,1.93510000E+4,
740.00,1.84820000E+4,
750.00,1.62850000E+4,
760.00,1.60820000E+4,
770.00,1.36500000E+4,
780.00,1.07340000E+4,
790.00,1.44020000E+4,
800.00,1.32070000E+4,
810.00,1.35180000E+4,
820.00,3.59690000E+4,
830.00,3.56130000E+4,
840.00,2.86320000E+4,
850.00,1.00150000E+4,
860.00,1.16730000E+4,
870.00,1.86870000E+4,
880.00,1.20389000E+5,
890.00,4.23240000E+4,
900.00,4.14140000E+4,
910.00,3.20980000E+4,
920.00,6.24020000E+4,
930.00,3.00660000E+4,
940.00,6.45440000E+4,
950.00,7.31240000E+4,
960.00,2.63170000E+4,
970.00,4.55040000E+4,
980.00,1.74974000E+5,
990.00,1.44628000E+5,
1000.00,2.95950000E+4,
