Labels,LN2-014 (LN2) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.29100000E+3,
310.00,4.31900000E+3,
320.00,9.80600000E+3,
330.00,1.49770000E+4,
340.00,1.87220000E+4,
350.00,2.07780000E+4,
360.00,2.14400000E+4,
370.00,2.22230000E+4,
380.00,2.42170000E+4,
390.00,2.66840000E+4,
400.00,2.85050000E+4,
410.00,2.63090000E+4,
420.00,2.76000000E+4,
430.00,2.70890000E+4,
440.00,2.81980000E+4,
450.00,3.27370000E+4,
460.00,3.20490000E+4,
470.00,3.55640000E+4,
480.00,2.99810000E+4,
490.00,2.77980000E+4,
500.00,2.59430000E+4,
510.00,2.56850000E+4,
520.00,2.56310000E+4,
530.00,2.51960000E+4,
540.00,2.49260000E+4,
550.00,2.45070000E+4,
560.00,2.39660000E+4,
570.00,2.37240000E+4,
580.00,2.33100000E+4,
590.00,2.28470000E+4,
600.00,2.13740000E+4,
610.00,2.07060000E+4,
620.00,2.07580000E+4,
630.00,1.90860000E+4,
640.00,1.61220000E+4,
650.00,1.84030000E+4,
660.00,1.98610000E+4,
670.00,2.17910000E+4,
680.00,2.17210000E+4,
690.00,2.34030000E+4,
700.00,1.87540000E+4,
710.00,1.93160000E+4,
720.00,1.65510000E+4,
730.00,1.75070000E+4,
740.00,1.63920000E+4,
750.00,1.44510000E+4,
760.00,1.40100000E+4,
770.00,1.19590000E+4,
780.00,9.63400000E+3,
790.00,1.27470000E+4,
800.00,1.18060000E+4,
810.00,1.15990000E+4,
820.00,2.91360000E+4,
830.00,2.75090000E+4,
840.00,2.05200000E+4,
850.00,7.23500000E+3,
860.00,7.97800000E+3,
870.00,1.20510000E+4,
880.00,7.49270000E+4,
890.00,2.47500000E+4,
900.00,2.32100000E+4,
910.00,1.76440000E+4,
920.00,3.18180000E+4,
930.00,1.53380000E+4,
940.00,3.06780000E+4,
950.00,3.38220000E+4,
960.00,1.21560000E+4,
970.00,2.01480000E+4,
980.00,7.07880000E+4,
990.00,6.48370000E+4,
1000.00,1.21520000E+4,
