Labels,LN2-001 (RT) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,5.64000000E+2,
310.00,5.78000000E+2,
320.00,6.03000000E+2,
330.00,6.29000000E+2,
340.00,6.47000000E+2,
350.00,6.57000000E+2,
360.00,6.63000000E+2,
370.00,6.67000000E+2,
380.00,6.77000000E+2,
390.00,6.87000000E+2,
400.00,7.00000000E+2,
410.00,6.91000000E+2,
420.00,7.01000000E+2,
430.00,7.00000000E+2,
440.00,7.07000000E+2,
450.00,7.37000000E+2,
460.00,7.29000000E+2,
470.00,7.57000000E+2,
480.00,7.26000000E+2,
490.00,7.16000000E+2,
500.00,7.10000000E+2,
510.00,7.14000000E+2,
520.00,7.19000000E+2,
530.00,7.20000000E+2,
540.00,7.22000000E+2,
550.00,7.25000000E+2,
560.00,7.27000000E+2,
570.00,7.28000000E+2,
580.00,7.33000000E+2,
590.00,7.40000000E+2,
600.00,7.42000000E+2,
610.00,7.54000000E+2,
620.00,7.80000000E+2,
630.00,7.95000000E+2,
640.00,7.97000000E+2,
650.00,8.80000000E+2,
660.00,9.79000000E+2,
670.00,1.10300000E+3,
680.00,1.20300000E+3,
690.00,1.36000000E+3,
700.00,1.32600000E+3,
710.00,1.45600000E+3,
720.00,1.44400000E+3,
730.00,1.59400000E+3,
740.00,1.62700000E+3,
750.00,1.58400000E+3,
760.00,1.61800000E+3,
770.00,1.54400000E+3,
780.00,1.53800000E+3,
790.00,2.76200000E+3,
800.00,4.95100000E+3,
810.00,7.81800000E+3,
820.00,2.46870000E+4,
830.00,2.68120000E+4,
840.00,2.20850000E+4,
850.00,8.15700000E+3,
860.00,9.58700000E+3,
870.00,1.54380000E+4,
880.00,9.75000000E+4,
890.00,3.57530000E+4,
900.00,3.52680000E+4,
910.00,2.78510000E+4,
920.00,5.41440000E+4,
930.00,2.64210000E+4,
940.00,5.71300000E+4,
950.00,6.41720000E+4,
960.00,2.32360000E+4,
970.00,4.01820000E+4,
980.00,1.57258000E+5,
990.00,1.25850000E+5,
1000.00,2.57470000E+4,
