Labels,LN2-006 (DryIce) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.80670857E-1,
310.00,8.96541715E-1,
320.00,1.48939788E+0,
330.00,1.78456151E+0,
340.00,1.92839944E+0,
350.00,1.99298751E+0,
360.00,2.01042724E+0,
370.00,2.03283310E+0,
380.00,2.06871486E+0,
390.00,2.11408401E+0,
400.00,2.14274859E+0,
410.00,2.11913919E+0,
420.00,2.13769412E+0,
430.00,2.12830162E+0,
440.00,2.14792824E+0,
450.00,2.20605826E+0,
460.00,2.20188594E+0,
470.00,2.24047589E+0,
480.00,2.18108225E+0,
490.00,2.15143347E+0,
500.00,2.12909174E+0,
510.00,2.12264872E+0,
520.00,2.11242628E+0,
530.00,2.09116983E+0,
540.00,2.05571628E+0,
550.00,1.99878716E+0,
560.00,1.91838503E+0,
570.00,1.82817566E+0,
580.00,1.72421348E+0,
590.00,1.61775768E+0,
600.00,1.50845480E+0,
610.00,1.41307867E+0,
620.00,1.32374465E+0,
630.00,1.23819590E+0,
640.00,1.15832174E+0,
650.00,1.10310829E+0,
660.00,1.05208826E+0,
670.00,1.00605202E+0,
680.00,9.57451046E-1,
690.00,9.23291802E-1,
700.00,8.81321132E-1,
710.00,8.50769222E-1,
720.00,8.15933824E-1,
730.00,7.94969141E-1,
740.00,7.71670997E-1,
750.00,7.48684466E-1,
760.00,7.32421994E-1,
770.00,7.03383207E-1,
780.00,6.40765727E-1,
790.00,5.14139533E-1,
800.00,3.24015230E-1,
810.00,1.88252226E-1,
820.00,1.22919008E-1,
830.00,1.01037018E-1,
840.00,9.29364935E-2,
850.00,8.20803642E-2,
860.00,8.69141892E-2,
870.00,9.54996943E-2,
880.00,1.06755465E-1,
890.00,1.08042158E-1,
900.00,1.13165297E-1,
910.00,1.14337809E-1,
920.00,1.26599163E-1,
930.00,1.22715361E-1,
940.00,1.27797902E-1,
950.00,1.31080732E-1,
960.00,1.08535439E-1,
970.00,1.16712071E-1,
980.00,1.21479861E-1,
990.00,1.05047345E-1,
1000.00,8.26571286E-2,
