Labels,LN2-015 (LN2) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.30000000E+3,
310.00,4.39400000E+3,
320.00,1.00000000E+4,
330.00,1.52670000E+4,
340.00,1.90440000E+4,
350.00,2.12040000E+4,
360.00,2.18930000E+4,
370.00,2.27910000E+4,
380.00,2.49060000E+4,
390.00,2.75090000E+4,
400.00,2.95880000E+4,
410.00,2.73810000E+4,
420.00,2.88740000E+4,
430.00,2.85250000E+4,
440.00,2.98240000E+4,
450.00,3.47420000E+4,
460.00,3.41580000E+4,
470.00,3.80180000E+4,
480.00,3.22470000E+4,
490.00,2.99730000E+4,
500.00,2.80950000E+4,
510.00,2.79820000E+4,
520.00,2.80460000E+4,
530.00,2.76790000E+4,
540.00,2.74510000E+4,
550.00,2.70860000E+4,
560.00,2.65170000E+4,
570.00,2.60210000E+4,
580.00,2.54020000E+4,
590.00,2.48200000E+4,
600.00,2.31530000E+4,
610.00,2.22700000E+4,
620.00,2.21460000E+4,
630.00,2.02190000E+4,
640.00,1.69840000E+4,
650.00,1.95120000E+4,
660.00,2.10510000E+4,
670.00,2.32420000E+4,
680.00,2.31300000E+4,
690.00,2.53520000E+4,
700.00,2.03520000E+4,
710.00,2.12190000E+4,
720.00,1.83110000E+4,
730.00,1.96390000E+4,
740.00,1.86120000E+4,
750.00,1.65360000E+4,
760.00,1.61870000E+4,
770.00,1.38560000E+4,
780.00,1.10930000E+4,
790.00,1.44830000E+4,
800.00,1.33130000E+4,
810.00,1.34870000E+4,
820.00,3.59640000E+4,
830.00,3.57030000E+4,
840.00,2.80290000E+4,
850.00,1.01230000E+4,
860.00,1.16670000E+4,
870.00,1.84900000E+4,
880.00,1.18007000E+5,
890.00,4.15520000E+4,
900.00,4.03510000E+4,
910.00,3.16190000E+4,
920.00,5.88750000E+4,
930.00,2.87130000E+4,
940.00,5.97060000E+4,
950.00,6.58950000E+4,
960.00,2.45170000E+4,
970.00,4.05840000E+4,
980.00,1.46969000E+5,
990.00,1.27399000E+5,
1000.00,2.56230000E+4,
