Labels,LN2-008 (DryIce) - processed,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,1.79138958E-1,
310.00,8.93494070E-1,
320.00,1.48637140E+0,
330.00,1.78080130E+0,
340.00,1.92241931E+0,
350.00,1.98777735E+0,
360.00,2.00453854E+0,
370.00,2.02767611E+0,
380.00,2.06358385E+0,
390.00,2.10899591E+0,
400.00,2.13698673E+0,
410.00,2.11399961E+0,
420.00,2.13258886E+0,
430.00,2.12322187E+0,
440.00,2.14212775E+0,
450.00,2.19893861E+0,
460.00,2.19545197E+0,
470.00,2.23136210E+0,
480.00,2.17320538E+0,
490.00,2.14351726E+0,
500.00,2.11683702E+0,
510.00,2.10208225E+0,
520.00,2.07499313E+0,
530.00,2.02659297E+0,
540.00,1.95495725E+0,
550.00,1.85813141E+0,
560.00,1.74624193E+0,
570.00,1.63306892E+0,
580.00,1.51729321E+0,
590.00,1.40818310E+0,
600.00,1.30470037E+0,
610.00,1.21519470E+0,
620.00,1.13506424E+0,
630.00,1.06097889E+0,
640.00,9.93077815E-1,
650.00,9.40707147E-1,
660.00,8.93942654E-1,
670.00,8.51868451E-1,
680.00,8.07118177E-1,
690.00,7.73725688E-1,
700.00,7.34356821E-1,
710.00,7.07102776E-1,
720.00,6.76658332E-1,
730.00,6.57669187E-1,
740.00,6.37392223E-1,
750.00,6.19428456E-1,
760.00,6.08011723E-1,
770.00,5.85323989E-1,
780.00,5.32535851E-1,
790.00,4.24932182E-1,
800.00,2.80357420E-1,
810.00,1.96363136E-1,
820.00,1.67209491E-1,
830.00,1.58140391E-1,
840.00,1.49308547E-1,
850.00,1.30180106E-1,
860.00,1.21596515E-1,
870.00,1.12911686E-1,
880.00,1.06493145E-1,
890.00,9.02337208E-2,
900.00,7.74104819E-2,
910.00,6.21317886E-2,
920.00,5.85488006E-2,
930.00,4.29189950E-2,
940.00,3.88960317E-2,
950.00,3.58165540E-2,
960.00,9.51576326E-3,
970.00,1.45574380E-2,
980.00,2.13666856E-2,
990.00,9.66438185E-3,
1000.00,-7.98804127E-3,
