Labels,LN2-018 (DryIce) - Raw,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,1000.00,
Step,10.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.0004635,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

300.00,5.83000000E+2,
310.00,6.50000000E+2,
320.00,7.66000000E+2,
330.00,8.75000000E+2,
340.00,9.50000000E+2,
350.00,9.91000000E+2,
360.00,1.00700000E+3,
370.00,1.02000000E+3,
380.00,1.06200000E+3,
390.00,1.11600000E+3,
400.00,1.16100000E+3,
410.00,1.11700000E+3,
420.00,1.15600000E+3,
430.00,1.16100000E+3,
440.00,1.20100000E+3,
450.00,1.33100000E+3,
460.00,1.32600000E+3,
470.00,1.42600000E+3,
480.00,1.29300000E+3,
490.00,1.25400000E+3,
500.00,1.23500000E+3,
510.00,1.30200000E+3,
520.00,1.41000000E+3,
530.00,1.54700000E+3,
540.00,1.74800000E+3,
550.00,2.01700000E+3,
560.00,2.33900000E+3,
570.00,2.71800000E+3,
580.00,3.14900000E+3,
590.00,3.61500000E+3,
600.00,3.97100000E+3,
610.00,4.41600000E+3,
620.00,4.97400000E+3,
630.00,5.16700000E+3,
640.00,4.90500000E+3,
650.00,6.06100000E+3,
660.00,7.12300000E+3,
670.00,8.43100000E+3,
680.00,9.12100000E+3,
690.00,1.04140000E+4,
700.00,9.04800000E+3,
710.00,9.84800000E+3,
720.00,9.05000000E+3,
730.00,1.00020000E+4,
740.00,9.79700000E+3,
750.00,9.06000000E+3,
760.00,9.04800000E+3,
770.00,8.07700000E+3,
780.00,6.94200000E+3,
790.00,1.05270000E+4,
800.00,1.19610000E+4,
810.00,1.38400000E+4,
820.00,3.79950000E+4,
830.00,4.03380000E+4,
840.00,3.13770000E+4,
850.00,1.14110000E+4,
860.00,1.32160000E+4,
870.00,2.11400000E+4,
880.00,1.30181000E+5,
890.00,4.86870000E+4,
900.00,4.77860000E+4,
910.00,3.73040000E+4,
920.00,7.16830000E+4,
930.00,3.46340000E+4,
940.00,7.40480000E+4,
950.00,8.19260000E+4,
960.00,3.06870000E+4,
970.00,5.17030000E+4,
980.00,2.02495000E+5,
990.00,1.59191000E+5,
1000.00,3.41210000E+4,
