Labels,AD2,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1998.046900,
Step,1.9531250,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts (a.u.),

351.562500,2.00000000E+0,
353.515630,8.00000000E+0,
355.468750,5.00000000E+0,
357.421880,7.00000000E+0,
359.37500,5.00000000E+0,
361.328130,6.00000000E+0,
363.281250,3.00000000E+0,
365.234380,6.00000000E+0,
367.187500,6.00000000E+0,
369.140630,7.00000000E+0,
371.093750,5.00000000E+0,
373.046880,7.00000000E+0,
375.00,2.00000000E+0,
376.953130,6.00000000E+0,
378.906250,1.00000000E+0,
380.859380,7.00000000E+0,
382.812500,7.00000000E+0,
384.765630,3.00000000E+0,
386.718750,1.00000000E+1,
388.671880,2.00000000E+0,
390.62500,1.00000000E+1,
392.578130,7.00000000E+0,
394.531250,3.00000000E+0,
396.484380,1.00000000E+0,
398.437500,6.00000000E+0,
400.390630,7.00000000E+0,
402.343750,4.00000000E+0,
404.296880,1.00000000E+1,
406.2500,8.00000000E+0,
408.203130,7.00000000E+0,
410.156250,5.00000000E+0,
412.109380,4.00000000E+0,
414.062500,5.00000000E+0,
416.015630,5.00000000E+0,
417.968750,1.00000000E+0,
419.921880,5.00000000E+0,
421.87500,9.00000000E+0,
423.828130,3.00000000E+0,
425.781250,4.00000000E+0,
427.734380,4.00000000E+0,
429.687500,6.00000000E+0,
431.640630,1.00000000E+1,
433.593750,7.00000000E+0,
435.546880,1.00000000E+0,
437.500,7.00000000E+0,
439.453130,1.00000000E+1,
441.406250,7.00000000E+0,
443.359380,5.00000000E+0,
445.312500,7.00000000E+0,
447.265630,8.00000000E+0,
449.218750,4.00000000E+0,
451.171880,6.00000000E+0,
453.12500,3.00000000E+0,
455.078130,4.00000000E+0,
457.031250,6.00000000E+0,
458.984380,4.00000000E+0,
460.937500,5.00000000E+0,
462.890630,6.00000000E+0,
464.843750,7.00000000E+0,
466.796880,6.00000000E+0,
468.7500,7.00000000E+0,
470.703130,7.00000000E+0,
472.656250,6.00000000E+0,
474.609380,6.00000000E+0,
476.562500,5.00000000E+0,
478.515630,5.00000000E+0,
480.468750,5.00000000E+0,
482.421880,5.00000000E+0,
484.37500,5.00000000E+0,
486.328130,4.00000000E+0,
488.281250,2.00000000E+0,
490.234380,6.00000000E+0,
492.187500,1.00000000E+0,
494.140630,5.00000000E+0,
496.093750,4.00000000E+0,
498.046880,5.00000000E+0,
500.00,4.00000000E+0,
501.953130,4.00000000E+0,
503.906250,6.00000000E+0,
505.859380,6.00000000E+0,
507.812500,9.00000000E+0,
509.765630,6.00000000E+0,
511.718750,4.00000000E+0,
513.671880,9.00000000E+0,
515.62500,2.00000000E+0,
517.578130,3.00000000E+0,
519.531250,7.00000000E+0,
521.484380,9.00000000E+0,
523.437500,6.00000000E+0,
525.390630,6.00000000E+0,
527.343750,1.00000000E+0,
529.296880,3.00000000E+0,
531.2500,4.00000000E+0,
533.203130,4.00000000E+0,
535.156250,5.00000000E+0,
537.109380,8.00000000E+0,
539.062500,1.00000000E+0,
541.015630,6.00000000E+0,
542.968750,4.00000000E+0,
544.921880,7.00000000E+0,
546.87500,3.00000000E+0,
548.828130,5.00000000E+0,
550.781250,4.00000000E+0,
552.734380,6.00000000E+0,
554.687500,7.00000000E+0,
556.640630,3.00000000E+0,
558.593750,2.00000000E+0,
560.546880,6.00000000E+0,
562.500,9.00000000E+0,
564.453130,3.00000000E+0,
566.406250,1.00000000E+1,
568.359380,6.00000000E+0,
570.312500,4.00000000E+0,
572.265630,2.00000000E+0,
574.218750,1.10000000E+1,
576.171880,3.00000000E+0,
578.12500,3.00000000E+0,
580.078130,9.00000000E+0,
582.031250,6.00000000E+0,
583.984380,5.00000000E+0,
585.937500,3.00000000E+0,
587.890630,6.00000000E+0,
589.843750,3.00000000E+0,
591.796880,7.00000000E+0,
593.7500,4.00000000E+0,
595.703130,3.00000000E+0,
597.656250,7.00000000E+0,
599.609380,9.00000000E+0,
601.562500,8.00000000E+0,
603.515630,1.00000000E+1,
605.468750,0.00000000E+0,
607.421880,5.00000000E+0,
609.37500,3.00000000E+0,
611.328130,1.00000000E+1,
613.281250,1.00000000E+1,
615.234380,3.00000000E+0,
617.187500,5.00000000E+0,
619.140630,5.00000000E+0,
621.093750,4.00000000E+0,
623.046880,5.00000000E+0,
625.00,3.00000000E+0,
626.953130,4.00000000E+0,
628.906250,7.00000000E+0,
630.859380,4.00000000E+0,
632.812500,7.00000000E+0,
634.765630,4.00000000E+0,
636.718750,6.00000000E+0,
638.671880,4.00000000E+0,
640.62500,3.00000000E+0,
642.578130,4.00000000E+0,
644.531250,9.00000000E+0,
646.484380,2.00000000E+0,
648.437500,3.00000000E+0,
650.390630,4.00000000E+0,
652.343750,2.00000000E+0,
654.296880,0.00000000E+0,
656.2500,7.00000000E+0,
658.203130,7.00000000E+0,
660.156250,5.00000000E+0,
662.109380,4.00000000E+0,
664.062500,8.00000000E+0,
666.015630,4.00000000E+0,
667.968750,3.00000000E+0,
669.921880,4.00000000E+0,
671.87500,5.00000000E+0,
673.828130,4.00000000E+0,
675.781250,3.00000000E+0,
677.734380,4.00000000E+0,
679.687500,5.00000000E+0,
681.640630,1.00000000E+1,
683.593750,6.00000000E+0,
685.546880,4.00000000E+0,
687.500,4.00000000E+0,
689.453130,3.00000000E+0,
691.406250,5.00000000E+0,
693.359380,5.00000000E+0,
695.312500,6.00000000E+0,
697.265630,5.00000000E+0,
699.218750,6.00000000E+0,
701.171880,4.00000000E+0,
703.12500,7.00000000E+0,
705.078130,7.00000000E+0,
707.031250,5.00000000E+0,
708.984380,8.00000000E+0,
710.937500,6.00000000E+0,
712.890630,6.00000000E+0,
714.843750,5.00000000E+0,
716.796880,8.00000000E+0,
718.7500,4.00000000E+0,
720.703130,6.00000000E+0,
722.656250,3.00000000E+0,
724.609380,6.00000000E+0,
726.562500,4.00000000E+0,
728.515630,6.00000000E+0,
730.468750,5.00000000E+0,
732.421880,7.00000000E+0,
734.37500,4.00000000E+0,
736.328130,8.00000000E+0,
738.281250,4.00000000E+0,
740.234380,6.00000000E+0,
742.187500,1.00000000E+1,
744.140630,5.00000000E+0,
746.093750,5.00000000E+0,
748.046880,7.00000000E+0,
750.00,4.00000000E+0,
751.953130,7.00000000E+0,
753.906250,7.00000000E+0,
755.859380,6.00000000E+0,
757.812500,8.00000000E+0,
759.765630,5.00000000E+0,
761.718750,8.00000000E+0,
763.671880,8.00000000E+0,
765.62500,5.00000000E+0,
767.578130,3.00000000E+0,
769.531250,4.00000000E+0,
771.484380,7.00000000E+0,
773.437500,8.00000000E+0,
775.390630,4.00000000E+0,
777.343750,2.00000000E+0,
779.296880,6.00000000E+0,
781.2500,5.00000000E+0,
783.203130,5.00000000E+0,
