Vmeas,Imeas,name,substrate,position
0.81405,0.00098588,AD001-3,1,3
0.79375,0.00104478,AD001-3,1,3
0.77345,0.00108707,AD001-3,1,3
0.7531,0.00112966,AD001-3,1,3
0.7328,0.00116782,AD001-3,1,3
0.7125,0.0011983,AD001-3,1,3
0.6922,0.00122495,AD001-3,1,3
0.67185,0.0012484,AD001-3,1,3
0.65155,0.00126884,AD001-3,1,3
0.63125,0.00128774,AD001-3,1,3
0.61095,0.0013062,AD001-3,1,3
0.5906,0.00132164,AD001-3,1,3
0.5703,0.00133727,AD001-3,1,3
0.55,0.00135152,AD001-3,1,3
0.5297,0.00136432,AD001-3,1,3
0.50935,0.00137794,AD001-3,1,3
0.48905,0.00138929,AD001-3,1,3
0.46875,0.00140063,AD001-3,1,3
0.44845,0.00141151,AD001-3,1,3
0.4281,0.00142253,AD001-3,1,3
0.4078,0.00143258,AD001-3,1,3
0.3875,0.00144146,AD001-3,1,3
0.3672,0.00145069,AD001-3,1,3
0.3469,0.00145978,AD001-3,1,3
0.32655,0.00146744,AD001-3,1,3
0.30625,0.00147551,AD001-3,1,3
0.28595,0.00148265,AD001-3,1,3
0.26565,0.00148917,AD001-3,1,3
0.2453,0.00149615,AD001-3,1,3
0.225,0.00150271,AD001-3,1,3
0.2047,0.0015103,AD001-3,1,3
0.1844,0.00151708,AD001-3,1,3
0.16405,0.00152308,AD001-3,1,3
0.14375,0.00152866,AD001-3,1,3
0.12345,0.00153433,AD001-3,1,3
0.10315,0.00153963,AD001-3,1,3
0.0828,0.00154493,AD001-3,1,3
0.0625,0.00154995,AD001-3,1,3
0.0422,0.00155565,AD001-3,1,3
0.0219,0.00155972,AD001-3,1,3
0.00155,0.00156419,AD001-3,1,3
-0.01875,0.00156874,AD001-3,1,3
-0.03905,0.00157266,AD001-3,1,3
-0.05935,0.00157695,AD001-3,1,3
-0.0797,0.00158073,AD001-3,1,3
-0.1,0.00158404,AD001-3,1,3
1.2,-0.00065548,AD002-1,2,1
1.1797,-0.00059083,AD002-1,2,1
1.15935,-0.00051929,AD002-1,2,1
1.13905,-0.00046077,AD002-1,2,1
1.11875,-0.00039835,AD002-1,2,1
1.09845,-0.00033631,AD002-1,2,1
1.0781,-0.00027644,AD002-1,2,1
1.0578,-0.00021619,AD002-1,2,1
1.0375,-0.00015617,AD002-1,2,1
1.0172,-9.713e-05,AD002-1,2,1
0.99685,-3.834e-05,AD002-1,2,1
0.97655,2.002e-05,AD002-1,2,1
0.95625,7.874e-05,AD002-1,2,1
0.93595,0.00013731,AD002-1,2,1
0.9156,0.00020273,AD002-1,2,1
