Collective data

Labels,AD4,AD3,AD2,AD1,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,
Start,700.00,700.00,700.00,700.00,
Stop,900.00,900.00,900.00,900.00,
Step,2.00,2.00,2.00,2.00,
Fixed/Offset,634.300,634.300,634.300,634.300,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,
Repeats,1,1,1,1,
Dwell Time,0.10,0.10,0.10,0.10,
Lamp,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,
Scan Slit,0.99968487,0.99968487,0.99968487,0.99968487,
Fixed/Offset Polariser,None,None,None,None,
Fixed/Offset Slit,0.99968487,0.99968487,0.99968487,0.99968487,
Detector,Detector 1,Detector 1,Detector 1,Detector 1,

830.00,1.31878213E+6,3.87026375E+5,1.32355010E+4,7.28636875E+4,
832.00,1.19127325E+6,3.53079781E+5,1.39399805E+4,6.53136719E+4,
834.00,1.13468113E+6,3.39453500E+5,1.24689209E+4,6.09217617E+4,
836.00,1.01572563E+6,3.17739844E+5,1.21634844E+4,6.13615977E+4,
838.00,9.18777313E+5,2.73875313E+5,8.38224902E+3,5.07447227E+4,
840.00,8.07940188E+5,2.60663250E+5,9.69844531E+3,3.56985313E+4,
842.00,7.06212000E+5,2.25065500E+5,7.91639648E+3,4.14051289E+4,
844.00,6.35426563E+5,1.97901219E+5,7.56025195E+3,3.73345898E+4,
846.00,5.43131313E+5,1.76608359E+5,5.09291699E+3,3.22551406E+4,
848.00,4.61011031E+5,1.70897422E+5,4.08780713E+3,3.39791680E+4,
850.00,4.01549438E+5,1.46180953E+5,6.34463623E+3,2.02914766E+4,
852.00,3.53934719E+5,1.13090055E+5,2.67118604E+3,2.21903066E+4,
854.00,3.01248938E+5,1.11817672E+5,4.07687915E+3,1.96597773E+4,
856.00,2.55352750E+5,8.73514453E+4,3.69664526E+3,1.86909043E+4,
858.00,2.33926813E+5,7.57342031E+4,1.41912927E+3,1.46429941E+4,
860.00,2.06773609E+5,6.59971563E+4,1.70330383E+3,1.70224063E+4,
862.00,1.85507516E+5,5.51929531E+4,0.00000000E+0,8.80609180E+3,
864.00,1.55740047E+5,5.32970508E+4,1.83225574E+3,9.40144336E+3,
866.00,1.24452305E+5,4.98355977E+4,5.73795313E+3,8.98300586E+3,
868.00,1.12838164E+5,3.68920273E+4,1.72020422E+3,7.42632910E+3,
870.00,9.74644141E+4,3.50816016E+4,3.33294214E+3,4.23222559E+3,
872.00,8.10754453E+4,2.51056035E+4,3.54053369E+3,4.50051270E+3,
