Labels,AD1,
Type,Emission Scan,
Comment,,
Start,700.00,
Stop,900.00,
Step,2.00,
Fixed/Offset,634.300,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.99968487,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99968487,
Detector,Detector 1,

700.00,0.00000000E+0,
702.00,-3.65187927E+2,
704.00,-1.47905273E+2,
706.00,6.75193359E+2,
708.00,9.87870728E+2,
710.00,9.24402466E+2,
712.00,3.91117096E+2,
714.00,7.95376205E+1,
716.00,4.04232269E+2,
718.00,6.57122559E+2,
720.00,-1.66809799E+2,
722.00,1.26748889E+3,
724.00,1.02955469E+3,
726.00,9.60336487E+2,
728.00,6.21378601E+2,
730.00,9.91784058E+2,
732.00,2.19393042E+3,
734.00,1.85537964E+3,
736.00,1.78878577E+3,
738.00,1.81714124E+3,
740.00,2.13742285E+3,
742.00,2.86089722E+3,
744.00,3.80843848E+3,
746.00,4.37858447E+3,
748.00,5.38775488E+3,
750.00,6.22627930E+3,
752.00,5.15622412E+3,
754.00,6.46149854E+3,
756.00,7.90594336E+3,
758.00,6.90165967E+3,
760.00,8.63990332E+3,
762.00,1.29967422E+4,
764.00,1.51242949E+4,
766.00,1.39425313E+4,
768.00,1.77926367E+4,
770.00,1.81319043E+4,
772.00,2.07619727E+4,
774.00,2.63401387E+4,
776.00,2.82090137E+4,
778.00,3.19460469E+4,
780.00,4.06093672E+4,
782.00,4.01116563E+4,
784.00,4.52795039E+4,
786.00,6.20951211E+4,
788.00,6.42491484E+4,
790.00,7.47513125E+4,
792.00,7.63302266E+4,
794.00,8.66443203E+4,
796.00,8.50306797E+4,
798.00,1.01319000E+5,
800.00,9.26936875E+4,
802.00,1.06309922E+5,
804.00,1.12314070E+5,
806.00,1.06168875E+5,
808.00,1.00496992E+5,
810.00,1.05545320E+5,
812.00,9.88015313E+4,
814.00,1.00598766E+5,
816.00,1.05989039E+5,
818.00,8.27457734E+4,
820.00,8.15804609E+4,
822.00,8.06738906E+4,
824.00,8.30487109E+4,
826.00,7.75998984E+4,
828.00,7.11070547E+4,
830.00,7.28636875E+4,
832.00,6.53136719E+4,
834.00,6.09217617E+4,
836.00,6.13615977E+4,
838.00,5.07447227E+4,
840.00,3.56985313E+4,
842.00,4.14051289E+4,
844.00,3.73345898E+4,
846.00,3.22551406E+4,
848.00,3.39791680E+4,
850.00,2.02914766E+4,
852.00,2.21903066E+4,
854.00,1.96597773E+4,
856.00,1.86909043E+4,
858.00,1.46429941E+4,
860.00,1.70224063E+4,
862.00,8.80609180E+3,
864.00,9.40144336E+3,
866.00,8.98300586E+3,
868.00,7.42632910E+3,
870.00,4.23222559E+3,
872.00,4.50051270E+3,
874.00,5.86424365E+3,
876.00,8.58673145E+3,
878.00,2.43974561E+3,
880.00,8.45135645E+3,
882.00,3.42979858E+3,
884.00,8.18169629E+3,
886.00,2.44266455E+3,
888.00,3.43971313E+3,
890.00,7.81880798E+2,
892.00,5.34941357E+3,
894.00,6.11556738E+3,
896.00,1.52460342E+4,
898.00,8.12462598E+3,
900.00,1.56518945E+4,
